term,estimate,std_error,conf_low,conf_high,t_stat,p_value
beef x post,0.2213565537027465,0.059952180928552985,0.10385027908278266,0.33886282832271036,3.6922185360786877,0.00022230631093359522
dairy_cattle x post,0.10187640584897567,0.05262255438747218,-0.0012638007504698068,0.20501661244842115,1.9359836677413236,0.05286970131082706
lamb_sheep_goat x post,-0.30214651397922765,0.3760964776502188,-1.0392956101736566,0.43500258221520116,-0.8033750166100548,0.4217580107328395
mixed_livestock x post,0.5432156069052004,0.29470028592824044,-0.03439695351415084,1.1208281673245517,1.8432815740038797,0.06528790999658068
pork x post,0.1055299611684852,0.05528683092235091,-0.002832227439322585,0.213892149776293,1.9087721145872805,0.05629149560376171
