term,estimate,std_error,conf_low,conf_high,t_stat,p_value,relative_time,pre_period,treatment_group
-8,-0.8529224607901129,0.5750844582961202,-1.9800879990505085,0.27424307747028265,-1.4831255626646225,0.1380410534920345,-8,True,lamb_sheep_goat
-7,-0.7407635301957958,0.2645407077106246,-1.25926331730862,-0.2222637430829716,-2.8001873004970603,0.005107296302225432,-7,True,lamb_sheep_goat
-6,0.31254693105916165,0.5026645938931863,-0.6726756729714835,1.2977695350898069,0.6217802782536466,0.5340863560788299,-6,True,lamb_sheep_goat
-5,-0.2892793484419154,0.19032718244195945,-0.6623206260281559,0.08376192914432512,-1.5199055895766835,0.12853470544356524,-5,True,lamb_sheep_goat
-4,-0.11758035912196277,0.21133191014318628,-0.5317909030026079,0.2966301847586823,-0.5563776858984387,0.5779526898738763,-4,True,lamb_sheep_goat
-3,-0.1536125752136406,0.18927811664664457,-0.524597683841064,0.21737253341378274,-0.8115707084111236,0.4170380046530954,-3,True,lamb_sheep_goat
-2,-0.41847295177095056,0.3290502392915033,-1.063411420782297,0.22646551724039587,-1.2717600591082638,0.20345838408165906,-2,True,lamb_sheep_goat
1,-0.8623685949616273,0.6443792892380766,-2.1253520018682575,0.4006148119450028,-1.338293469955101,0.18080078967050398,1,False,lamb_sheep_goat
2,-0.9177101615917596,0.5410082588765487,-1.9780863489897949,0.14266602580627574,-1.696296029745397,0.08982983200192059,2,False,lamb_sheep_goat
3,-1.0615660627806291,0.47422002790542267,-1.9910373174752576,-0.13209480808600071,-2.2385517277063327,0.02518509812153028,3,False,lamb_sheep_goat
4,-1.0720802273624597,0.5345374360130846,-2.1197736019481055,-0.02438685277681385,-2.00562234772312,0.04489655572907255,4,False,lamb_sheep_goat
5,-0.06347911417369698,0.4110020563983345,-0.8690431447144326,0.7420849163670385,-0.15444962667577108,0.8772552266247333,5,False,lamb_sheep_goat
6,-0.4515998600465364,0.7573325348989528,-1.9359716284484838,1.0327719083554112,-0.5963032607687866,0.5509726531099135,6,False,lamb_sheep_goat
7,-0.400727029157821,0.7790770652026091,-1.927718076954935,1.1262640186392927,-0.5143612192634713,0.6069994675122464,7,False,lamb_sheep_goat
8,-1.005903673601285,0.571488604336784,-2.1260213381013813,0.11421399089881157,-1.760146512052751,0.07838296826017081,8,False,lamb_sheep_goat
9,-0.7371443226602535,0.5634608867536453,-1.8415276606973983,0.3672390153768911,-1.3082439970363828,0.19079056349490467,9,False,lamb_sheep_goat
10,-0.6499126640042799,0.5901128492120244,-1.8065338484598477,0.5067085204512879,-1.1013362357252616,0.27075034601149184,10,False,lamb_sheep_goat
11,-0.7304373026844773,0.6514651898201429,-2.0073090747319573,0.5464344693630028,-1.12122230642306,0.26219324701128366,11,False,lamb_sheep_goat
12,-0.6725716101242861,0.6068807090089767,-1.8620577997818804,0.5169145795333082,-1.1082435149777314,0.26775666250510916,12,False,lamb_sheep_goat
13,-1.1298081503380741,0.5227558814803387,-2.1544096780395376,-0.1052066226366104,-2.1612538287253438,0.030675737375578903,13,False,lamb_sheep_goat
14,-0.44318882064496684,0.7928816429183108,-1.9972368407648557,1.1108591994749222,-0.5589596185046598,0.576189279786889,14,False,lamb_sheep_goat
15,-0.6861315443945724,0.6282739069433093,-1.9175484020034586,0.5452853132143138,-1.0920898302664728,0.27479361899449695,15,False,lamb_sheep_goat
16,-0.6332420474796213,0.6623939119637897,-1.9315341149286493,0.6650500199694066,-0.9559901382581517,0.3390772168703482,16,False,lamb_sheep_goat
17,-0.7516088454919292,0.6491564979600155,-2.0239555814935595,0.5207378905097011,-1.1578238034339512,0.24693594738849572,17,False,lamb_sheep_goat
18,-0.7249801012818193,0.6285881885079984,-1.957012950757496,0.5070527481938574,-1.1533466815573077,0.2487681167401669,18,False,lamb_sheep_goat
19,-1.019858261008817,0.6237478683579698,-2.2424040829904377,0.20268756097280383,-1.6350488919402908,0.10203879873930523,19,False,lamb_sheep_goat
20,-0.697390558215373,0.5980325206689665,-1.8695342987265473,0.4747531822958013,-1.1661415292855033,0.2435572282629434,20,False,lamb_sheep_goat
21,-0.6313603419557006,0.5621671727083053,-1.733208000463979,0.4704873165525778,-1.1230829059513545,0.2614022853556581,21,False,lamb_sheep_goat
22,-0.5901557392962049,0.5742762941537644,-1.715737275837583,0.5354257972451733,-1.0276512286926975,0.3041139172426047,22,False,lamb_sheep_goat
23,-0.6610258992854519,0.5985178219392467,-1.8341208302863754,0.5120690317154717,-1.1044381220657287,0.26940313155830303,23,False,lamb_sheep_goat
24,-0.3691047025572305,0.5166431490073604,-1.3817252746116568,0.6435158694971959,-0.7144287179001613,0.4749621193273442,24,False,lamb_sheep_goat
