period,relative_time,series,mean_log_price,mean_price,units
2023-10-23,-35,beef,4.805302605425171,122.73345713520754,2
2023-10-30,-34,beef,5.139115824599827,176.98878533007513,7
2023-11-06,-33,beef,5.045593292856882,193.74796674238706,8
2023-11-13,-32,beef,5.080266857841938,169.99640534856243,6
2023-11-20,-31,beef,5.264407089404986,237.4375253969305,8
2023-11-27,-30,beef,4.921700916680822,143.97146109978718,8
2023-12-04,-29,beef,4.910630730373848,137.1075527742623,8
2023-12-11,-28,beef,5.051086741282582,160.22526916446066,8
2023-12-18,-27,beef,5.60331715635659,368.9675839524842,7
2023-12-25,-26,beef,5.1027940668595795,168.32583344966758,8
2024-01-01,-25,beef,4.920894090094824,140.5484837661,7
2024-01-08,-24,beef,4.9226740884932045,140.13123868015398,8
2024-01-15,-23,beef,4.855732319608917,142.9463898069314,8
2024-01-22,-22,beef,4.993109631480196,154.2253279083647,8
2024-01-29,-21,beef,4.972122624362695,149.07380582890545,8
2024-02-05,-20,beef,5.239781602129765,477.03657186625173,8
2024-02-12,-19,beef,4.970261414435029,159.42146764076304,8
2024-02-19,-18,beef,5.528640180050433,725.6131885591913,8
2024-02-26,-17,beef,5.145947565499215,196.84731577967926,8
2024-03-04,-16,beef,4.939983411902257,144.43245059868576,8
2024-03-11,-15,beef,5.080355059046886,179.82356154804145,7
2024-03-18,-14,beef,5.14370988623148,181.57626121555327,8
2024-03-25,-13,beef,5.282518423297003,205.77694742509766,7
2024-04-01,-12,beef,5.106693459201504,171.10804566698798,8
2024-04-08,-11,beef,5.017930591531791,153.49815500685762,8
2024-04-15,-10,beef,4.901488846262774,140.6335153633091,8
2024-04-22,-9,beef,4.808114172965796,125.74670858477921,8
2024-04-29,-8,beef,5.0006185593294,153.01999598648524,8
2024-05-06,-7,beef,4.971553381399009,156.20214417765467,8
2024-05-13,-6,beef,5.179546301252488,195.41782543744048,5
2024-05-27,-4,beef,5.057883473498791,159.7955878368131,8
2024-06-03,-3,beef,4.819216308692821,143.59459663205848,8
2024-06-10,-2,beef,4.681347123245654,125.90839435329416,8
2024-06-17,-1,beef,5.026264805409683,155.2684252409388,8
2024-07-01,1,beef,5.206422453754179,186.73916915997836,8
2024-07-08,2,beef,5.092009536151723,168.15339593164126,8
2024-07-15,3,beef,5.112900693750582,172.14525186394184,8
2024-07-22,4,beef,5.160100178819718,179.21360540044202,8
2024-07-29,5,beef,4.952264433188779,147.54875654731475,8
2024-08-05,6,beef,5.059307252293362,160.07192947740853,8
2024-08-12,7,beef,5.034011761155289,159.15038853661602,8
2024-08-19,8,beef,4.978311687397914,151.36896593569423,8
2024-08-26,9,beef,5.04033091866213,156.3770322800645,8
2024-09-02,10,beef,5.198134991103399,204.2192654866041,6
2024-10-07,15,beef,5.11966433979944,174.0266169624748,8
2024-10-14,16,beef,5.742341764332102,456.982871693407,7
2024-10-21,17,beef,4.816425134008835,126.27930956110144,8
2024-10-28,18,beef,5.501535560802121,521.2701171389572,7
2024-11-04,19,beef,5.75611199945481,807.1226765994086,8
2024-11-11,20,beef,5.491130775360544,537.8017200796652,8
2024-11-18,21,beef,5.401159628767123,464.24043600424886,8
2024-11-25,22,beef,5.6631584926556595,810.8026334657998,8
2024-12-02,23,beef,5.222527230741794,382.47679940131036,8
2024-12-09,24,beef,5.75532534723414,1228.7764946781817,8
2024-12-16,25,beef,5.479159769843125,4314.910112694802,8
2024-12-23,26,beef,5.759840388004527,992.2294583344726,8
2024-12-30,27,beef,5.124828413546642,187.90994616557526,8
2025-01-06,28,beef,5.416135921459131,405.5271608676993,8
2025-01-13,29,beef,5.110064322040017,332.550760758803,8
2025-01-20,30,beef,5.7094471874179895,831.6289093648713,8
2025-01-27,31,beef,5.614969848438066,597.0454730099544,6
2025-02-03,32,beef,5.256559458479913,272.97297664678484,8
2025-02-10,33,beef,5.238219741447878,239.31134210755502,8
2025-02-17,34,beef,4.939618439764143,146.68898308683222,8
2025-02-24,35,beef,5.366321515493145,267.42161549957166,8
2025-03-03,36,beef,5.567802158341867,465.9736749760098,8
2025-03-10,37,beef,5.191810921804338,225.0757393770148,8
2025-03-17,38,beef,5.077353911372328,165.53098968576856,8
2025-03-24,39,beef,5.426663475237314,363.0544396804283,8
2025-03-31,40,beef,5.605962533860217,445.7392165747568,8
2025-04-07,41,beef,5.874085016308133,733.5747360070354,8
2025-04-14,42,beef,5.76916078553969,528.0419788753455,6
2025-04-21,43,beef,5.47726240870746,413.87178366408926,8
2025-04-28,44,beef,5.617539417976793,469.0226263535192,8
2025-05-05,45,beef,5.209685209780505,192.72818866636618,8
2025-05-12,46,beef,5.198616875599175,187.96304658987876,8
2025-05-19,47,beef,5.140993512989511,172.367114247186,8
2025-05-26,48,beef,5.614085432643208,310.7971160390756,8
2025-06-02,49,beef,5.676579293456758,383.45411486162544,4
2025-06-09,50,beef,5.426707381567478,258.5054319905531,5
2025-06-16,51,beef,5.162382865241261,179.5237365553739,5
2025-06-23,52,beef,5.080213893984739,163.39106222373337,5
2025-06-30,53,beef,5.224865836190885,187.62407182237075,5
2025-07-07,54,beef,5.182434205763384,179.3822883558462,5
2025-07-14,55,beef,5.062055592598158,159.85919879549624,5
2025-07-21,56,beef,5.0817182847607665,164.56834085852248,5
2025-07-28,57,beef,5.430827763923174,268.2172680936728,5
2025-08-04,58,beef,5.361846216230262,257.51784322820396,8
2025-08-11,59,beef,5.320515022030923,208.03225544274056,8
