month_id,synthetic,treated,post,gap,synthetic_aligned
2023m4,4.933175488239629,4.801558999993482,0,-.1316164882461468,4.805888794375939
2023m5,4.936164839450452,4.809742351716865,0,-.1264224877335867,4.808878145586762
2023m6,4.935199541356827,4.825910852685991,0,-.1092886886708362,4.807912847493137
2023m7,4.944345424960008,4.827513417131532,0,-.1168320078284761,4.817058731096318
2023m8,4.939552373013582,4.823502180305079,0,-.1160501927085029,4.812265679149892
2023m9,4.928749473036797,4.797442073635214,0,-.1313073994015834,4.801462779173107
2023m10,4.932984668510191,4.802380355275797,0,-.1306043132343939,4.805697974646501
2023m11,4.928115826011767,4.795790545596741,0,-.1323252804150261,4.800829132148078
2023m12,4.924345371758974,4.77912349311153,0,-.1452218786474448,4.797058677895285
2024m1,4.924538763928713,4.811371016571989,0,-.1131677473567239,4.797252070065023
2024m2,4.92797457776167,4.783316371371566,0,-.1446582063901047,4.800687883897981
2024m3,4.933084451538727,4.804021044733257,0,-.1290634068054706,4.805797757675037
2024m4,4.932724132457166,4.804840381116659,0,-.1278837513405069,4.805437438593476
2024m5,4.935027008557085,4.803201036487226,0,-.1318259720698585,4.807740314693395
2024m6,4.938463698577976,4.815431111471288,0,-.1230325871066889,4.811177004714287
2024m7,4.939432323205894,4.843399374720342,1,-.0960329484855524,4.812145629342204
2024m8,4.942244201407452,4.832305758571839,1,-.1099384428356132,4.814957507543762
2024m9,4.942571945766034,4.827513417131532,1,-.1150585286345027,4.815285251902345
2024m10,4.950201091871982,4.829113417472866,1,-.1210876743991163,4.822914398008292
2024m11,4.959618580794404,4.825108606353353,1,-.134509974441051,4.832331886930714
2024m12,4.96592104649474,4.819474788635096,1,-.1464462578596439,4.83863435263105
2025m1,4.982515321820133,4.861361591348501,1,-.1211537304716312,4.855228627956443
2025m2,4.98897438324602,4.855150391255861,1,-.1338239919901589,4.86168768938233
2025m3,5.003824158652148,4.887337077751762,1,-.1164870809003862,4.876537464788458
2025m4,5.029108104998446,4.922168312773925,1,-.1069397922245212,4.901821411134756
2025m5,5.057863789325086,4.947340443723943,1,-.1105233456011439,4.930577095461397
2025m6,5.084184803847317,5.001930853466109,1,-.0822539503812081,4.956898109983627
2025m7,5.099073402311556,5.033048888933155,1,-.0660245133784008,4.971786708447866
2025m8,5.111375112837688,5.033700567027251,1,-.0776745458104369,4.984088418973998
2025m9,5.131065440739741,5.043425116919247,1,-.0876403238204944,5.003778746876051
