geo,month,measure,value,flag
HU,2023m9,THS_T,1.86,
IE,2023m9,THS_T,50.349998,
IT,2023m9,THS_T,56.080002,
LT,2023m9,THS_T,3.4100001,
LU,2023m9,THS_T,.75999999,
LV,2023m9,THS_T,1.42,
MT,2023m9,THS_T,.079999998,
NL,2023m9,THS_T,37.209999,
PL,2023m9,THS_T,42.98,
PT,2023m9,THS_T,8.21,
RO,2023m9,THS_T,2.53,p
SE,2023m9,THS_T,12.3,
SI,2023m9,THS_T,2.5599999,
SK,2023m9,THS_T,.60000002,
DK,2023m9,THS_T,9.9799995,
AT,2023m10,THS_T,18.32,
BE,2023m10,THS_T,22.16,
BG,2023m10,THS_T,.67000002,p
CY,2023m10,THS_T,.50999999,
CZ,2023m10,THS_T,6.5500002,
DE,2023m10,THS_T,89.769997,
EE,2023m10,THS_T,.69999999,
EL,2023m10,THS_T,2.78,
ES,2023m10,THS_T,61.130001,
FI,2023m10,THS_T,7.71,
FR,2023m10,THS_T,113,p
HR,2023m10,THS_T,3.5599999,
HU,2023m10,THS_T,1.8099999,
IE,2023m10,THS_T,56.709999,
IT,2023m10,THS_T,59.619999,
LT,2023m10,THS_T,4.0799999,
LU,2023m10,THS_T,.88,
LV,2023m10,THS_T,1.67,
MT,2023m10,THS_T,.11,
NL,2023m10,THS_T,38.91,
PL,2023m10,THS_T,45.93,
PT,2023m10,THS_T,8.8900003,
RO,2023m10,THS_T,3.27,p
SE,2023m10,THS_T,12.92,
SI,2023m10,THS_T,3.3399999,
SK,2023m10,THS_T,.68000001,
DK,2023m10,THS_T,10.43,
AT,2023m11,THS_T,19.92,
BE,2023m11,THS_T,20.92,
BG,2023m11,THS_T,.70999998,p
CY,2023m11,THS_T,.5,
CZ,2023m11,THS_T,6.6100001,
DE,2023m11,THS_T,101.63,
EE,2023m11,THS_T,.74000001,
EL,2023m11,THS_T,2.6099999,
ES,2023m11,THS_T,59.82,
FI,2023m11,THS_T,7.9099998,
FR,2023m11,THS_T,112.21,p
HR,2023m11,THS_T,3.54,
HU,2023m11,THS_T,2.0799999,
IE,2023m11,THS_T,57.09,
IT,2023m11,THS_T,56.27,
LT,2023m11,THS_T,3.8599999,
LU,2023m11,THS_T,.94,
LV,2023m11,THS_T,1.64,
MT,2023m11,THS_T,.090000004,
NL,2023m11,THS_T,39.599998,
PL,2023m11,THS_T,44.68,
PT,2023m11,THS_T,8.0600004,
RO,2023m11,THS_T,3.1400001,p
SE,2023m11,THS_T,13.1,
SI,2023m11,THS_T,3.9200001,
SK,2023m11,THS_T,.69,
DK,2023m11,THS_T,11.25,
AT,2023m12,THS_T,17.129999,
BE,2023m12,THS_T,20.969999,
BG,2023m12,THS_T,.77999997,p
CY,2023m12,THS_T,.50999999,
CZ,2023m12,THS_T,5.8400002,
DE,2023m12,THS_T,83.879997,
EE,2023m12,THS_T,.54000002,
EL,2023m12,THS_T,2.95,
ES,2023m12,THS_T,56.349998,
FI,2023m12,THS_T,6.6100001,
FR,2023m12,THS_T,102.58,
HR,2023m12,THS_T,3.45,
HU,2023m12,THS_T,1.8,
IE,2023m12,THS_T,44.720001,
IT,2023m12,THS_T,55.23,
LT,2023m12,THS_T,3.24,
LU,2023m12,THS_T,.76999998,
LV,2023m12,THS_T,1.3099999,
MT,2023m12,THS_T,.090000004,
NL,2023m12,THS_T,38.580002,
PL,2023m12,THS_T,37.759998,
PT,2023m12,THS_T,7.5599999,
RO,2023m12,THS_T,2.55,p
SE,2023m12,THS_T,10.51,
SI,2023m12,THS_T,3.1600001,
