month,synthetic,treated,synthetic_aligned
2023m4,4.569712704991032,4.437224795138644,4.43788447473517
2023m5,4.577883941031362,4.444884056054749,4.4460557107755
2023m6,4.584347584904283,4.46118433545971,4.452519354648421
2023m7,4.596692233094451,4.463260939805398,4.464864002838589
2023m8,4.58208523789674,4.459103409853308,4.450257007640878
2023m9,4.574229105252413,4.433194921248282,4.442400874996551
2023m10,4.570180586639409,4.437579593794131,4.438352356383547
2023m11,4.564824839844949,4.431530829576971,4.432996609589087
2023m12,4.549369299008535,4.414856779264584,4.417541068752673
2024m1,4.568313828549615,4.446877606993498,4.436485598293753
2024m2,4.555424696821349,4.418840607796598,4.423596466565487
2024m3,4.568358007082332,4.439587745198413,4.43652977682647
2024m4,4.573402875486893,4.440177611315912,4.441574645231031
2024m5,4.576664578905695,4.438288813682014,4.444836348649833
2024m6,4.583145405650576,4.450619426139493,4.451317175394714
2024m7,4.596209913774774,4.478699521934143,4.464381683518912
2024m8,4.592672490655505,4.468089645439724,4.460844260399643
2024m9,4.593873741191975,4.462915138407221,4.462045510936113
2024m10,4.591432329810187,4.464527856185625,4.459604099554325
2024m11,4.586852959370091,4.460953335227682,4.455024729114229
2024m12,4.578005660105438,4.455277096413474,4.446177429849576
2025m1,4.592869085969927,4.496805161309966,4.461040855714066
2025m2,4.586987676025233,4.490768925678116,4.455159445769371
2025m3,4.586491197655241,4.523092074952484,4.454662967399379
2025m4,4.588101002752458,4.55744944977668,4.456272772496596
2025m5,4.605850746249045,4.582822322324184,4.474022515993183
2025m6,4.61058900812476,4.637346917683312,4.478760777868898
2025m7,4.62986147147716,4.668426635623106,4.498033241221298
2025m8,4.619912569802612,4.669177315962384,4.48808433954675
2025m9,4.616999488151168,4.679163865896418,4.485171257895306
