sample,variable,observations,mean,sd,p25,median,p75
all,Consumer price index,1590,97.75898742138365,6.8730969,95.25,98.730003,101.22
beef,Consumer price index,30,89.43466666666667,7.4149008,84.739998,86.580002,89.730003
donors,Consumer price index,1560,97.91907051282051,6.7651076,95.470001,98.790001,101.235
