geo,month,measure,value,flag
DE,2023m9,THS_HD,254.39999,
EE,2023m9,THS_HD,2.6300001,
EL,2023m9,THS_HD,12.24,
ES,2023m9,THS_HD,206.5,
FI,2023m9,THS_HD,22.41,
FR,2023m9,THS_HD,325.19,p
HR,2023m9,THS_HD,13.6,
HU,2023m9,THS_HD,7.5100002,
IE,2023m9,THS_HD,152.64,
IT,2023m9,THS_HD,226.5,
LT,2023m9,THS_HD,12.47,
LU,2023m9,THS_HD,2.02,
LV,2023m9,THS_HD,6.3299999,
MT,2023m9,THS_HD,.28999999,
NL,2023m9,THS_HD,180.13,
PL,2023m9,THS_HD,147.81,
PT,2023m9,THS_HD,32.799999,
RO,2023m9,THS_HD,11.25,p
SE,2023m9,THS_HD,37.509998,
SI,2023m9,THS_HD,8.6300001,
SK,2023m9,THS_HD,2.04,
DK,2023m9,THS_HD,37.490002,
AT,2023m10,THS_HD,56.310001,
BE,2023m10,THS_HD,71.82,
BG,2023m10,THS_HD,3.28,p
CY,2023m10,THS_HD,1.9,
CZ,2023m10,THS_HD,21.559999,
DE,2023m10,THS_HD,272.51999,
EE,2023m10,THS_HD,2.7,
EL,2023m10,THS_HD,12.19,
ES,2023m10,THS_HD,214.00999,
FI,2023m10,THS_HD,24,
FR,2023m10,THS_HD,355.73001,p
HR,2023m10,THS_HD,14,
HU,2023m10,THS_HD,7.23,
IE,2023m10,THS_HD,174.86,
IT,2023m10,THS_HD,238.11,
LT,2023m10,THS_HD,14.89,
LU,2023m10,THS_HD,2.4000001,
LV,2023m10,THS_HD,7.2800002,
MT,2023m10,THS_HD,.38999999,
NL,2023m10,THS_HD,188.87,
PL,2023m10,THS_HD,158.17,
PT,2023m10,THS_HD,36.259998,
RO,2023m10,THS_HD,14.63,p
SE,2023m10,THS_HD,39.82,
SI,2023m10,THS_HD,11.4,
SK,2023m10,THS_HD,2.3299999,
DK,2023m10,THS_HD,39.389999,
AT,2023m11,THS_HD,61.330002,
BE,2023m11,THS_HD,67.709999,
BG,2023m11,THS_HD,3.23,p
CY,2023m11,THS_HD,1.79,
CZ,2023m11,THS_HD,22,
DE,2023m11,THS_HD,304.07001,
EE,2023m11,THS_HD,2.9100001,
EL,2023m11,THS_HD,11.12,
ES,2023m11,THS_HD,209.24001,
FI,2023m11,THS_HD,24.309999,
FR,2023m11,THS_HD,352.51001,p
HR,2023m11,THS_HD,13.4,
HU,2023m11,THS_HD,8.0900002,
IE,2023m11,THS_HD,181.63,
IT,2023m11,THS_HD,225.33,
LT,2023m11,THS_HD,14.02,
LU,2023m11,THS_HD,2.5599999,
LV,2023m11,THS_HD,7.1500001,
MT,2023m11,THS_HD,.31999999,
NL,2023m11,THS_HD,191.67,
PL,2023m11,THS_HD,150.03,
PT,2023m11,THS_HD,32.990002,
RO,2023m11,THS_HD,14.35,p
SE,2023m11,THS_HD,40.470001,
SI,2023m11,THS_HD,13.57,
SK,2023m11,THS_HD,2.3099999,
DK,2023m11,THS_HD,41.84,
AT,2023m12,THS_HD,53.049999,
BE,2023m12,THS_HD,68.230003,
BG,2023m12,THS_HD,3.5799999,p
CY,2023m12,THS_HD,1.79,
CZ,2023m12,THS_HD,19.18,
DE,2023m12,THS_HD,250.28999,
EE,2023m12,THS_HD,2.2,
EL,2023m12,THS_HD,12.46,
ES,2023m12,THS_HD,198.45,
FI,2023m12,THS_HD,20.309999,
FR,2023m12,THS_HD,320.31,
HR,2023m12,THS_HD,13.5,
HU,2023m12,THS_HD,6.9099998,
IE,2023m12,THS_HD,142.86,
IT,2023m12,THS_HD,224.03,
LT,2023m12,THS_HD,11.63,
LU,2023m12,THS_HD,2.01,
LV,2023m12,THS_HD,5.77,
MT,2023m12,THS_HD,.33000001,
NL,2023m12,THS_HD,185.66,
PL,2023m12,THS_HD,127.26,
PT,2023m12,THS_HD,31.23,
RO,2023m12,THS_HD,11.57,p
SE,2023m12,THS_HD,32.330002,
SI,2023m12,THS_HD,10.65,
SK,2023m12,THS_HD,1.89,
DK,2023m12,THS_HD,33.560001,
AT,2024m1,THS_HD,52.950001,
BE,2024m1,THS_HD,70.989998,
BG,2024m1,THS_HD,3.6800001,
CY,2024m1,THS_HD,2.0999999,
CZ,2024m1,THS_HD,19.969999,
DE,2024m1,THS_HD,254.62,
EE,2024m1,THS_HD,2.6199999,
EL,2024m1,THS_HD,12.45,
ES,2024m1,THS_HD,210.08,
FI,2024m1,THS_HD,22.98,
FR,2024m1,THS_HD,349.23001,p
HR,2024m1,THS_HD,12.4,
HU,2024m1,THS_HD,6.96,
IE,2024m1,THS_HD,166.06,
IT,2024m1,THS_HD,223.36,
LT,2024m1,THS_HD,12.56,
LU,2024m1,THS_HD,2.23,
LV,2024m1,THS_HD,6.3600001,
MT,2024m1,THS_HD,.34,
NL,2024m1,THS_HD,187.63,
PL,2024m1,THS_HD,174.14,
PT,2024m1,THS_HD,33.32,
RO,2024m1,THS_HD,11.4,p
SE,2024m1,THS_HD,37.189999,
SI,2024m1,THS_HD,8.9200001,
SK,2024m1,THS_HD,2.0599999,
DK,2024m1,THS_HD,36.279999,
AT,2024m2,THS_HD,48.599998,
BE,2024m2,THS_HD,62.439999,
BG,2024m2,THS_HD,3.1600001,
CY,2024m2,THS_HD,1.86,
CZ,2024m2,THS_HD,18.370001,
DE,2024m2,THS_HD,252.50999,
EE,2024m2,THS_HD,2.51,
EL,2024m2,THS_HD,11.15,
ES,2024m2,THS_HD,197.88,
FI,2024m2,THS_HD,21.43,
FR,2024m2,THS_HD,326.81,p
HR,2024m2,THS_HD,11.7,
HU,2024m2,THS_HD,6.25,
IE,2024m2,THS_HD,164.07001,
IT,2024m2,THS_HD,208.77,
LT,2024m2,THS_HD,13.17,
LU,2024m2,THS_HD,2.01,
LV,2024m2,THS_HD,5.5599999,
MT,2024m2,THS_HD,.31,
NL,2024m2,THS_HD,173.27,
PL,2024m2,THS_HD,177.42999,
PT,2024m2,THS_HD,29.950001,
RO,2024m2,THS_HD,11.85,p
SE,2024m2,THS_HD,35.849998,
SI,2024m2,THS_HD,8.0900002,
SK,2024m2,THS_HD,2.04,
DK,2024m2,THS_HD,33.849998,
AT,2024m3,THS_HD,50.889999,
BE,2024m3,THS_HD,67.510002,
BG,2024m3,THS_HD,2.97,
CY,2024m3,THS_HD,1.78,
CZ,2024m3,THS_HD,18.02,
DE,2024m3,THS_HD,256.89001,
EE,2024m3,THS_HD,2.3499999,
EL,2024m3,THS_HD,11.41,
ES,2024m3,THS_HD,198.81,
FI,2024m3,THS_HD,20.360001,
FR,2024m3,THS_HD,339.17999,p
HR,2024m3,THS_HD,13.3,
HU,2024m3,THS_HD,5.2600002,
IE,2024m3,THS_HD,153.14,
IT,2024m3,THS_HD,221.92999,
LT,2024m3,THS_HD,12.74,
LU,2024m3,THS_HD,2.0999999,
LV,2024m3,THS_HD,5.71,
MT,2024m3,THS_HD,.30000001,
NL,2024m3,THS_HD,187.17999,
PL,2024m3,THS_HD,183.88,
PT,2024m3,THS_HD,30.299999,
RO,2024m3,THS_HD,11.33,p
SE,2024m3,THS_HD,32.77,
SI,2024m3,THS_HD,9.1499996,
SK,2024m3,THS_HD,1.77,
DK,2024m3,THS_HD,32.189999,
AT,2024m4,THS_HD,51.939999,
BE,2024m4,THS_HD,69.620003,
BG,2024m4,THS_HD,2.5799999,
CY,2024m4,THS_HD,1.52,
CZ,2024m4,THS_HD,19.200001,
DE,2024m4,THS_HD,252.44,
EE,2024m4,THS_HD,2.5,
EL,2024m4,THS_HD,11.62,
ES,2024m4,THS_HD,212.85001,
FI,2024m4,THS_HD,22.02,
FR,2024m4,THS_HD,343.35999,
HR,2024m4,THS_HD,12.2,
HU,2024m4,THS_HD,7.9499998,
IE,2024m4,THS_HD,155.00999,
IT,2024m4,THS_HD,204.8,
LT,2024m4,THS_HD,12.84,
LU,2024m4,THS_HD,2.0799999,
LV,2024m4,THS_HD,5.5900002,
MT,2024m4,THS_HD,.37,
