month_id,synthetic,treated,post,synthetic_aligned
2023m4,.8753751510741326,.8490248233689704,0,.9601896512778899
2023m5,.9139277618464672,1.001027848482169,0,.9987422620502245
2023m6,.8834563028030566,1.006510505516078,0,.968270803006814
2023m7,.8949401819179281,.9333791372096731,0,.9797546821216855
2023m8,.8995615176298656,.9709190945290942,0,.9843760178336229
2023m9,.9031180093774375,1.076593175689691,0,.9879325095811948
2023m10,.9820670876358085,1.095715583311927,0,1.066881587839566
2023m11,1.047854610445605,1.225099792272584,0,1.132669110649363
2023m12,.9619544257746558,1.132054745285287,0,1.046768925978413
2024m1,.8978197141517645,.9130064570216655,0,.9826342143555219
2024m2,.820810026116213,.8991617627924609,0,.9056245263199704
2024m3,.9157374315253195,1.061232674377636,0,1.000551931729077
2024m4,.9915098346537512,1.092078707321407,0,1.076324334857508
2024m5,.8901729510696086,.9027357695819482,0,.9749874512733659
2024m6,.9287648510061765,.920747283323559,0,1.013579351209934
2024m7,1.015376165410638,1.406708853829874,1,1.100190665614395
2024m8,.9719956014485277,1.09520068727444,1,1.056810101652285
2024m9,.9305537611409742,.8782589058613235,1,1.015368261344731
2024m10,1.058471046672369,1.003676329487437,1,1.143285546876127
2024m11,1.038541940717191,1.04145354319011,1,1.123356440920948
2024m12,1.037440063433354,1.219694145696705,1,1.122254563637111
2025m1,.9648489323944858,1.105097334558776,1,1.049663432598243
2025m2,.9300997237853728,.9842663106499088,1,1.01491422398913
2025m3,.9747852838004003,.8963787081377264,1,1.059599784004158
2025m4,.9980470751433205,.8688125164935203,1,1.082861575347078
2025m5,1.045370798373879,.7172640029219721,1,1.130185298577636
2025m6,1.06235490068013,.9461588930631522,1,1.147169400883887
2025m7,1.165907580813722,.9268292815183973,1,1.250722081017479
2025m8,1.063057402674082,1.091987236775289,1,1.147871902877839
2025m9,1.063403583786065,1.008399016916485,1,1.148218083989822
