month,synthetic,treated,gap,synthetic_aligned,sq_full,sq_recent
2016m12,4.591639217102085,4.617098756853365,.0254595397512798,4.594538607425628,.0005089603422018,
2017m1,4.613789164737336,4.609162207257629,-.0046269574797071,4.616688555060879,.0000566459112555,
2017m2,4.593913930139185,4.617098756853365,.0231848267141803,4.596813320462728,.0004114989295586,
2017m3,4.608068221390973,4.61512051684126,.0070522954502863,4.610967611714516,.0000172466209917,
2017m4,4.601591100752474,4.621043535144381,.0194524343919076,4.604490491076016,.0002740032679292,
2017m5,4.615979103633982,4.616110126026426,.000131022392444,4.618878493957524,7.66386100194e-06,
2017m6,4.614807751332148,4.628886712605407,.0140789612732588,4.617707141655691,.0001249828066197,
2017m7,4.610328467024286,4.633757642840004,.0234291758157177,4.613227857347828,.0004214720923547,
2017m8,4.611891909663711,4.643428898105181,.03153698844147,4.614791299987254,.0008201120259639,
2017m9,4.62377269902117,4.634728988229636,.0109562892084663,4.626672089344712,.0000649136196419,
2017m10,4.620702926030728,4.626931677769604,.0062287517388757,4.623602316354271,.0000110846474339,
2017m11,4.619247550832458,4.626931677769604,.0076841269371464,4.622146941156,.0000228937044616,
2017m12,4.609107651456544,4.629862798578463,.0207551471219194,4.612007041780086,.0003188280508428,
2018m1,4.618460937664026,4.616110126026426,-.0023508116376005,4.621360327987569,.0000275646206328,
2018m2,4.615092802065646,4.61512051684126,.000027714775614,4.617992192389188,8.24652045257e-06,
2018m3,4.611356208517593,4.619073091157083,.0077168826394898,4.614255598841136,.0000232082322142,
2018m4,4.612727708299002,4.626931677769604,.0142039694706018,4.615627098622545,.0001277935096921,
2018m5,4.614753367083247,4.618086411254637,.0033330441713906,4.617652757406789,1.88055659753e-07,
2018m6,4.612012806284774,4.607168188650764,-.00484461763401,4.614912196608317,.0000599696592466,
2018m7,4.612846745016005,4.616110126026426,.003263381010421,4.615746135339547,1.32489220134e-07,
2018m8,4.622084639552357,4.633757642840004,.0116730032876466,4.6249840298759,.0000769762844439,
2018m9,4.610089617754376,4.631812116934513,.0217224991801368,4.612989008077919,.0003543094270272,
2018m10,4.610746492024854,4.626931677769604,.0161851857447504,4.613645882348396,.0001765123599742,
2018m11,4.614127748458248,4.613138355637268,-.0009893928209799,4.617027138781791,.0000151226343451,
2018m12,4.611916800208695,4.633757642840004,.0218408426313088,4.614816190532237,.0003587786155274,
2019m1,4.616225917298307,4.633757642840004,.0175317255416969,4.619125307621849,.0002141052339364,
2019m2,4.604660186700697,4.633757642840004,.0290974561393069,4.607559577024239,.0006863386524871,
2019m3,4.614978267658744,4.620058798481842,.0050805308230979,4.617877657982286,4.75737387880e-06,
2019m4,4.611255570335486,4.634728988229636,.0234734178941496,4.614154960659029,.0004232906104761,
2019m5,4.628158758084906,4.618086411254637,-.0100723468302686,4.631058148408449,.0001682659647876,
2019m6,4.619981819108173,4.636668853047462,.0166870339392888,4.622881209431716,.0001900991164748,
2019m7,4.620122119181849,4.622027303054514,.0019051838726654,4.623021509505391,9.88446466966e-07,
2019m8,4.63168668638072,4.636668853047462,.0049821666667427,4.634586076704262,4.33795729579e-06,
2019m9,4.635847513459784,4.622027303054514,-.01382021040527,4.638746903783327,.0002795450485309,
2019m10,4.632499394027821,4.61512051684126,-.0173788771865615,4.635398784351364,.0004112081332113,
2019m11,4.627658645346982,4.613138355637268,-.0145202897097141,4.630558035670525,.000303445252461,
2019m12,4.633189926637847,4.606169686321175,-.0270202403166726,4.63608931696139,.0008951842976469,
2020m1,4.63096969102108,4.623010104116422,-.0079595869046578,4.633869081344622,.0001179173864426,
2020m2,4.63377743566732,4.61512051684126,-.0186569188260606,4.636676825990863,.0004646744641533,
2020m3,4.645042940472028,4.637637376125593,-.0074055643464357,4.647942330795571,.0001061920907503,
2020m4,4.625553885903569,4.623991940228679,-.0015619456748901,4.628453276227112,.0000199035188909,
2020m5,4.632950548920166,4.630837932736669,-.0021126161834975,4.635849939243709,.0000251202092266,
2020m6,4.636395943030899,4.617098756853365,-.0192971861775337,4.639295333354442,.0004926880083681,
2020m7,4.635990064807048,4.624972813284271,-.0110172515227775,4.638889455130591,.0001936729202788,
2020m8,4.632142420578061,4.61015772749913,-.0219846930789309,4.635041810901604,.0006192176067813,
2020m9,4.632378047060265,4.603168183317418,-.0292098637428468,4.635277437383808,.0010310041967,
2020m10,4.633445779975281,4.616110126026426,-.0173356539488552,4.636345170298823,.0004094570167059,
2020m11,4.626783287173398,4.619073091157083,-.0077101960163146,4.62968267749694,.0001125633223029,
2020m12,4.622720414598753,4.616110126026426,-.0066102885723271,4.625619804922295,.0000904339927026,
2021m1,4.624997290093382,4.617098756853365,-.0078985332400165,4.627896680416924,.0001165951532845,
2021m2,4.622562805297115,4.618086411254637,-.0044763940424772,4.625462195620657,.000054402195014,
2021m3,4.628460990232026,4.60816569496789,-.0202952952641358,4.631360380555568,.0005379934395113,
2021m4,4.625785685335758,4.634728988229636,.0089433028938783,4.6286850756593,.0000365288791579,
2021m5,4.626132032229097,4.637637376125593,.0115053438964958,4.629031422552639,.0000740624368998,
2021m6,4.627232979130959,4.630837932736669,.0036049536057101,4.630132369454501,4.97819545143e-07,
2021m7,4.631080548411835,4.644390899141372,.0133103507295376,4.633979938735378,.0001083880965752,
2021m8,4.636369917962299,4.641502115235482,.0051321972731824,4.639269308285842,4.98542687436e-06,
2021m9,4.64083107414177,4.631812116934513,-.0090189572072576,4.643730464465313,.0001420470078649,
2021m10,4.647467595512844,4.641502115235482,-.0059654802773625,4.650366985836387,.0000785859307708,
2021m11,4.649831325283821,4.651099117876491,.0012677925926701,4.652730715607364,2.66211115539e-06,
2021m12,4.665398447939027,4.670957926526095,.0055594785870676,4.668297838262569,7.07606956974e-06,
2022m1,4.678051412478299,4.675628649636653,-.0024227628416469,4.680950802801842,.0000283253143137,
2022m2,4.688794288368717,4.71492104994721,.0261267615784933,4.69169367869226,.0005395107754153,
2022m3,4.705709153344918,4.747537427275013,.0418282739300952,4.70860854366846,.0015154579788525,
2022m4,4.743437673359422,4.805659046737495,.0622213733780734,4.746337063682964,.003519097673522,
2022m5,4.777499640977838,4.839451481712757,.0619518407349195,4.78039903130138,.0034871918995881,
2022m6,4.800797263823569,4.874433672915854,.073636409092285,4.803696654147112,.0050037258242894,
2022m7,4.807975490306111,4.896346147694128,.0883706573880172,4.810874880629654,.0073053374936067,
2022m8,4.811169246970888,4.891100725401066,.0799314784301783,4.81406863729443,.0059339425980685,
2022m9,4.825381712583767,4.882044059723269,.0566623471395014,4.82828110290731,.0028904555255946,
2022m10,4.826492834919178,4.8629083820668,.0364155471476222,4.829392225242721,.0011233327682563,
2022m11,4.819238413198642,4.820281565605037,.0010431524063952,4.822137803522184,3.44561920506e-06,
2022m12,4.817694053075057,4.807294370078226,-.0103996829968311,4.820593443398599,.0001768653511807,
2023m1,4.819730432616372,4.823502180305079,.0037717476887069,4.822629822939914,7.61007372556e-07,
2023m2,4.821461930117382,4.812184355372417,-.0092775747449654,4.824361320440925,.0001482784782797,
2023m3,4.825951053187482,4.799090878625398,-.026860174562084,4.828850443511024,.0008856317021818,
2023m4,4.829863882330013,4.801558999993482,-.0283048823365313,4.832763272653556,.0009737066322442,.000016843644014
2023m5,4.827297087011382,4.809742351716865,-.0175547352945165,4.830196477334924,.0004183712547993,.0000441699296187
2023m6,4.827399224973388,4.825910852685991,-.0014883722873975,4.830298615296931,.00001925246073,.0005158535303723
2023m7,4.837300326668981,4.827513417131532,-.009786909537449,4.840199716992523,.000160942204163,.0002077597037671
2023m8,4.830108096599881,4.823502180305079,-.0066059162948022,4.833007486923424,.0000903508539088,.0003095792801416
2023m9,4.82425198555207,4.797442073635214,-.0268099119168559,4.827151375875612,.0008826426396114,6.80756174680e-06
2023m10,4.826374081010974,4.802380355275797,-.0239937257351777,4.829273471334517,.0007232396913478,4.28720727128e-08
2023m11,4.82307000959469,4.795790545596741,-.0272794639979486,4.825969399918232,.0009107632481578,9.47828617644e-06
2023m12,4.82522387587406,4.77912349311153,-.0461003827625301,4.828123266197602,.0024009777624866,.0004795925372594
2024m1,4.82543491447813,4.811371016571989,-.0140638979061407,4.828334304801673,.0002877531475633,.0001027564081615
2024m2,4.829586547471852,4.783316371371566,-.0462701761002862,4.832485937795394,.0024176462623073,.0004870581798387
2024m3,4.829399820722005,4.804021044733257,-.0253787759887478,4.832299211045547,.0007996546899856,1.38767111243e-06
2024m4,4.834081768626141,4.804840381116659,-.0292413875094821,4.836981158949683,.0010330295997119,.0000254077093575
2024m5,4.835546618574313,4.803201036487226,-.0323455820870873,4.838446008897856,.0012422080802261,.0000663377772734
2024m6,4.843218713599349,4.815431111471288,-.0277876021280612,4.846118103922891,.0009416915057248,.000012865282513
2024m7,4.842648316007581,4.843399374720342,.0007510587127602,4.845547706331124,,
2024m8,4.842527493416973,4.832305758571839,-.0102217348451337,4.845426883740515,,
2024m9,4.843371981852237,4.827513417131532,-.0158585647207055,4.84627137217578,,
2024m10,4.849917505597541,4.829113417472866,-.0208040881246756,4.852816895921084,,
2024m11,4.853739147530855,4.825108606353353,-.0286305411775025,4.856638537854398,,
2024m12,4.86716199520199,4.819474788635096,-.0476872065668932,4.870061385525532,,
2025m1,4.879349922223239,4.861361591348501,-.0179883308747373,4.882249312546781,,
2025m2,4.8863002481614,4.855150391255861,-.0311498569055395,4.889199638484943,,
2025m3,4.913581810391269,4.887337077751762,-.0262447326395074,4.916481200714812,,
2025m4,4.945894401646165,4.922168312773925,-.0237260888722401,4.948793791969708,,
2025m5,4.980040510093112,4.947340443723943,-.0327000663691699,4.982939900416655,,
2025m6,5.00264795155422,5.001930853466109,-.0007170980881108,5.005547341877763,,
2025m7,5.013200889994551,5.033048888933155,.0198479989386042,5.016100280318094,,
2025m8,5.021912176767428,5.033700567027251,.0117883902598237,5.02481156709097,,
2025m9,5.04580346175251,5.043425116919247,-.0023783448332635,5.048702852076053,,
