pooled_mean,draw,beta_draw,damage_draw,price_draw,price_block1,price_block4,announcement_draw
118.68088,1,.0808026673069185,48.7730802030944,149.6642777328177,140.1792081069533,147.1860717961401,12.59528702002645
180.78201,2,.0779063937155679,74.2941531357588,152.8726065695691,146.5192161785985,143.0971502243459,12.38596231811326
105.465,3,.0621464017807896,43.3418837442,169.7216335992011,139.3947076047524,136.6208199493805,10.88223242829069
385.03143,4,.0620595631812054,158.2324702690284,136.0802309614565,149.8165055880511,154.2771827846991,8.712634710281403
78.266853,5,.1040805533343369,32.16453651685764,164.2174941643381,151.5051651793505,148.8526617468244,18.01299074746962
177.70346,6,.0775782856691721,73.0289925971848,138.7021036837254,137.5860581094275,148.7539012467375,11.188659000891
131.10239,7,.0834705927595917,53.87782246211321,146.0453312514229,132.9507496179421,134.0624220272722,12.71372038030448
85.797783,8,.0850991025629384,35.25944660594604,156.3137553732388,139.3191545424588,142.4855651145139,13.88456411523563
93.526138,9,.0577653503481886,38.43549044934344,142.56066643674,155.8922060902153,147.1827938327032,8.477564358017048
586.04279,10,.071866488025856,240.8400746532652,145.8925372396821,140.4307420490006,140.6822656231205,10.8707263939204
182.00578,11,.0767588431209777,74.79707350810639,142.5396038004636,138.4965431745317,139.8159062197665,11.37204452775969
368.00977,12,.0641287672143703,151.2372509180276,151.3327522677509,151.3623818451708,158.6226167348478,10.02272056565668
104.09378,13,.0438330793016808,42.77836733754639,161.8932422011053,145.784190048621,137.8577219729413,7.254102725230238
158.7966,14,.0358350890851357,65.259031680408,147.9796425505437,145.1860558325895,154.6848655749847,5.399023159303783
162.17583,15,.095233447998061,66.6477596357004,137.4240530738726,142.2711636046204,153.8549388708082,13.73080647699445
178.37277,16,.0326425996580699,73.3040521544676,145.386459391159,153.798267647386,140.789908882328,4.824099211235343
144.6284,17,.0306723221431893,59.436469908592,138.5428191263049,158.4007580178733,127.5924232804144,4.315271366757464
147.52304,18,.0563143828805469,60.6260508156352,147.44069574317,153.5038619006883,153.3443738331744,8.541272916385946
84.118782,19,.0849948371837406,34.56944455646616,154.6007110443957,157.1905716295457,140.7617521855927,13.71485260877359
181.7562,20,.0229648346632468,74.694506141256,149.0278118438619,162.2937967104818,136.952083989252,3.461999028064149
212.95621,21,.0571279207760117,87.51645850685479,148.1110285698459,148.193265941694,144.007290621117,8.70763149094946
292.90561,22,-.0040258004904342,120.3724543369268,140.8834574220952,137.8152637662337,147.4091971194921,-.5660285684678518
218.70497,23,.0942726317920365,89.87896822660359,146.685012770972,145.7271858086698,141.4749065674499,14.50117607829515
240.52493,24,.0628248506531761,98.84609636980839,150.6428620003649,163.2348727277767,148.8660860139881,9.76773089744669
102.28101,25,.010361478805941,42.0333915958788,147.6782095251263,149.4266800709444,159.1139451108326,1.538119473206472
115.82224,26,.0588211123552451,47.59829385173119,143.7768504953832,146.4036411564574,165.9364885898773,8.710792106471541
232.28781,27,.0474274918618005,95.4609705230628,144.6500047915243,154.1739066214518,156.6340692561967,7.025675105402105
110.98846,28,.0289321359355255,45.6118042029848,144.9502128660402,151.8980028253871,161.8490684232778,4.254975218570649
94.511719,29,.0789506409293656,38.84052469883372,148.4972225706351,150.5339384228025,145.8534332317605,12.19918148982801
146.78011,30,.0570369606650442,60.3207363919868,138.610288590679,139.6747809168503,150.4355849132632,8.135722536371299
177.18152,31,.0649337939710345,72.8144961974176,136.2783935534928,158.8239687111455,164.4401588580487,9.142695884123437
250.02625,32,.0658301099471482,102.75075769685,151.6066548858485,153.3500391061431,155.7349000887963,10.31611295890128
282.43512,33,.0486970052345452,116.0695030229856,156.410895333157,138.2134652046924,142.2782414799895,7.805245853249527
170.45047,34,.0664785697682364,70.04830469714359,141.0238649418095,130.3401859230199,151.4403612980945,9.693706963899944
204.36041,35,.0613617837647062,83.98392957035081,146.5958159552677,148.9805146322155,146.0721367698635,9.277099738550238
195.37595,36,.0350978805330303,80.29167696688599,147.3076962790884,139.7020501509249,166.4881992729068,5.26199011680255
223.19281,37,.0493743175428651,91.7232904144628,142.3817020662875,149.2156872217886,156.9665676827021,7.206442004900673
99.97850800000001,38,.082867355241765,41.08715565025904,153.0222429626495,139.7696235346911,140.4498371572042,13.22076892741819
121.86551,39,.0259664750932464,50.0818353657388,147.523943795597,143.9259834391586,154.3314586850983,3.880844685618571
126.18256,40,.0804017552021591,51.8559697156928,142.1351379122086,142.4100864241985,145.6075860391028,11.89989079486148
84.86277800000001,41,.0646526238987394,34.87519706334664,142.2098611096751,154.4876719535015,155.4368546103031,9.497966701817862
97.64634700000001,42,.0981079068156325,40.12873104555836,156.6490596108827,156.5354708478437,155.1691678047535,16.14766840086054
132.16776,43,.0317092001307028,54.31564678946879,166.596503325887,150.0384834969272,168.3709942955128,5.367288360840991
87.569778,44,.0844144691705777,35.98766545850664,140.7698626979923,129.4944761546069,144.4481303713759,12.39897795797668
157.83678,45,.0584610693525469,64.8645841683864,151.2281503998025,142.2512359569934,134.8460578478265,9.104495782231499
162.98952,46,.041946322000776,66.98215358045761,143.3247261336938,141.847496735552,159.2525898841951,6.139816246678763
227.30862,47,.041211912104242,93.4147231981656,132.3223442260247,146.4257857505387,143.3956439945812,5.56718608122726
172.64503,48,.1210169170645674,70.95018081139639,144.6567871326336,145.0441678930672,149.4501410303089,18.60922852664292
165.06454,49,.055957478199776,67.8349035506552,147.6807492283711,153.2798672634529,135.4998138704836,8.499427884554416
165.4417,50,.0447847801166862,67.98990117899599,143.8065882077252,161.2973976222669,145.4070756430509,6.586738378447555
106.51476,51,-.0087651533490562,43.7732929878288,137.4294805430604,149.4874972541393,140.3425402583285,-1.199326652159665
174.5822,52,.0784981632015175,71.746279962136,143.414840684709,149.143878216438,150.4762080471025,11.71145213437578
71.70658899999999,53,.0570875763028372,29.46853121064932,144.921121333532,141.3564550537638,141.4050956189459,8.51390249897978
141.19891,54,.0705074515631906,58.0270871097308,150.2877732453938,153.9272193344649,157.4148096947491,10.97890737179437
210.96774,55,.0686579376313786,86.6992771142712,164.3971382124959,159.2519298704446,128.8966239260823,11.68366742880252
122.69978,56,.0419652682479813,50.4246868648264,155.2135338529774,140.9339973996521,148.2408533096505,6.652181652166157
82.18332700000001,57,.0719666226612535,33.77405020192077,161.8741555364538,158.5208960555418,147.2637269469528,12.07896458749981
176.63481,58,.0487193496629798,72.58982032142279,143.7341608027432,146.1972882228939,138.73213112754,7.176021031698794
84.67796300000001,59,.0571755907238196,34.79924551312444,151.7701840708672,145.0218271884346,141.1614928154641,8.930418198397946
178.07153,60,.1066696975533882,73.18025460021639,153.2240427008348,157.4621665447022,156.7109695620569,17.24792642200231
117.58498,61,.0418031278435397,48.3227092706024,151.4445546647915,149.807259145006,150.673129358865,6.465044168357678
100.48905,62,-.0542978340799501,41.296967929314,133.2846429726478,137.7388746705971,152.221830082077,-7.044097253167238
202.13036,63,.0543042787462597,83.0674684899568,138.1772275780133,141.4685933891598,136.5891967674807,7.711092461282882
183.37108,64,.1218112443536354,75.35815703227041,144.6947045227983,152.1001620459001,160.673607080233,18.74387855060055
134.23392,65,.0563023986756422,55.1647556551296,153.143933330491,154.1519263757131,146.4490620759212,8.869721145780508
247.56487,66,.0387430142368754,101.7392292674156,149.1623900331448,156.7359045058245,134.7369431316492,5.892408397852248
141.44931,67,.0351791036522483,58.12999146368279,148.5812001926658,148.6689973766846,152.4180175451899,5.31998087929382
135.40376,68,.071715176835201,55.6455129611488,150.7283308322939,142.2961151406909,147.1986607679934,11.20654602528614
217.67355,69,.1229774259081994,89.455095987174,156.004197098043,133.9759760252644,146.0356669965337,20.41453646491764
183.26939,70,.052500937940276,75.3163665220732,147.4435439531979,151.5927011867461,148.4597441236525,7.947730528683336
371.43094,71,.0322797104958937,152.6432145306872,156.4051075336802,150.2508287841536,154.2304975907811,5.131080962821271
169.23941,72,.0723708766079949,69.55060762487079,150.1597852765715,152.6958500753482,155.5467680193829,11.27008989798106
247.44257,73,.050271905744108,101.6889688740916,134.2406078389626,138.6831797718447,146.7398355801205,6.921040587382031
104.48649,74,.0571257544669264,42.9397553920212,152.1877491705478,143.4839074011048,155.2477093072407,8.946957895002258
140.9261,75,.035081499046039,57.91497314486799,147.0816006328827,148.5913115499531,137.4196011001881,5.251418274155523
141.53831,76,.0848552160566783,58.16656689300279,143.9373306539133,142.7701679490613,151.5245171807716,12.74701074488979
99.488434,77,.0364723763481487,40.88575489802792,151.4863367712476,148.9695537371654,156.8657631746391,5.627059031978227
181.98326,78,.0923449831490742,74.78781869160881,151.4949296045558,155.4839997480248,134.8513877206956,14.65609135396121
120.72269,79,.0673614576973687,49.6121821956772,151.0693374235998,149.6190008815993,158.4259236200987,10.52682159469875
240.12924,80,.0945626787596332,98.68348365489121,146.6989985135225,158.4328341354114,150.4860356700422,14.54932150307891
167.76416,81,.0238694144256506,68.94433906190081,158.3366224600383,153.5234259435601,148.2963709229217,3.824869559011899
487.71527,82,.0900066555231868,200.4314088333676,153.4284344695824,152.3577186388074,152.7072550403266,14.4501302321465
