unit,unit_key,first_valid,last_missing
153,Germany|Chile,2010m1,
154,Germany|Japan,2010m1,
155,Germany|Montenegro,2010m1,
156,Germany|Namibia,2010m1,
157,Germany|New Zealand,2010m1,
158,Germany|North Macedonia,2010m1,
159,Germany|Norway,2010m1,
160,Germany|Paraguay,2010m1,
161,Germany|Serbia,2010m1,
162,Germany|Switzerland,2010m1,
163,Germany|Türkiye,2010m1,
164,Germany|United Kingdom,2010m1,
165,Germany|United States of America,2010m1,
166,Germany|Uruguay,2010m1,
167,Greece|Albania,2010m1,
168,Greece|Argentina,2010m1,
169,Greece|Botswana,2010m1,
170,Greece|Brazil,2010m1,
171,Greece|Japan,2010m1,
172,Greece|Namibia,2010m1,
173,Greece|New Zealand,2010m1,
174,Greece|Serbia,2010m1,
175,Greece|Ukraine,2010m1,
176,Greece|United Kingdom,2010m1,
177,Greece|Uruguay,2010m1,
178,Hungary|Argentina,2010m1,
179,Hungary|Australia,2010m1,
180,Hungary|China,2010m1,
181,Hungary|Japan,2010m1,
182,Hungary|New Zealand,2010m1,
183,Hungary|Nigeria,2010m1,
184,Hungary|Serbia,2010m1,
185,Hungary|Switzerland,2010m1,
186,Hungary|United Kingdom,2010m1,
187,Hungary|United States of America,2010m1,
188,Ireland|Australia,2010m1,
189,Ireland|Brazil,2010m1,
190,Ireland|Canada,2010m1,
191,Ireland|China,2010m1,
192,Ireland|Countries and territories not specified within the framework of trade wi,2010m1,
193,Ireland|Hong Kong,2010m1,
194,Ireland|Iceland,2010m1,
195,Ireland|India,2010m1,
196,Ireland|Japan,2010m1,
197,Ireland|Korea (Republic of),2010m1,
198,Ireland|Macao,2010m1,
199,Ireland|Mexico,2010m1,
200,Ireland|Morocco,2010m1,
201,Ireland|New Zealand,2010m1,
202,Ireland|Nigeria,2010m1,
203,Ireland|Norway,2010m1,
204,Ireland|Philippines,2010m1,
205,Ireland|Qatar,2010m1,
206,Ireland|Russia,2010m1,
207,Ireland|Singapore,2010m1,
208,Ireland|South Africa,2010m1,
209,Ireland|Switzerland,2010m1,
210,Ireland|Thailand,2010m1,
211,Ireland|Türkiye,2010m1,
212,Ireland|Ukraine,2010m1,
213,Ireland|United Arab Emirates,2010m1,
214,Ireland|United Kingdom,2010m1,
215,Ireland|United States of America,2010m1,
216,Ireland|Vietnam,2010m1,
217,Italy|Argentina,2010m1,
218,Italy|Australia,2010m1,
219,Italy|Botswana,2010m1,
220,Italy|Brazil,2010m1,
221,Italy|Canada,2010m1,
222,Italy|Japan,2010m1,
223,Italy|Namibia,2010m1,
224,Italy|New Zealand,2010m1,
225,Italy|Norway,2010m1,
