weight,month_id_numeric,total_weight
.076310862725674,2023m4,.9999999999999997
0,2023m5,.9999999999999997
0,2023m6,.9999999999999997
.1383250630583369,2023m7,.9999999999999997
0,2023m8,.9999999999999997
0,2023m9,.9999999999999997
0,2023m10,.9999999999999997
0,2023m11,.9999999999999997
0,2023m12,.9999999999999997
0,2024m1,.9999999999999997
0,2024m2,.9999999999999997
0,2024m3,.9999999999999997
0,2024m4,.9999999999999997
.1374618218448301,2024m5,.9999999999999997
.6479022523711586,2024m6,.9999999999999997
