month,synthetic,treated
2023m10,4.329666455618951,4.510503465996043
2023m11,4.343687310002488,4.956559300183267
2023m12,4.238166076079337,4.935611616353569
2024m1,4.128309559904094,4.431448295570272
2024m2,4.231582956971008,4.636265764760878
2024m3,4.043211967494877,4.960399479323044
2024m4,4.222715800769858,4.710402429531864
2024m5,4.200743340921328,4.588130352413326
2024m7,4.325145742051005,4.938181544355233
2024m8,4.23882909585421,4.789516390610476
2024m9,4.387208202994616,5.044131424930192
2024m10,4.390630336723613,4.937634524781711
2024m11,4.301179328776463,5.041286803453831
2024m12,4.296559461638688,4.716601800166472
2025m1,4.309592462633979,4.736304059176088
2025m2,4.325178867482281,4.793948690748397
2025m3,4.309012654620527,4.804164651106781
2025m4,4.23401281044829,5.004922321788817
2025m5,4.266073467284364,5.135839168314629
2025m6,4.281588096086664,5.081700197040279
2025m7,4.284220674866821,5.075044297600355
2025m8,4.300252475487023,4.997510795335998
2025m9,4.322318478307022,4.980957531534285
