pooled_mean,draw,price_draw,price_block1,price_block4,gap_effective_120,gap_marginal_300
118.68088,1,149.6642777328177,140.1792081069533,147.1860717961401,.243523726653102,.1827519653711427
180.78201,2,152.8726065695691,146.5192161785985,143.0971502243459,.3624832268836785,.3098728548351302
105.465,3,169.7216335992011,139.3947076047524,136.6208199493805,.1915703100955667,.1352468475836194
385.03143,4,136.0802309614565,149.8165055880511,154.2771827846991,.7455667464549115,.705523705070536
78.266853,5,164.2174941643381,151.5051651793505,148.8526617468244,.1399035750589123,.0784497650877735
177.70346,6,138.7021036837254,137.5860581094275,148.7539012467375,.3868984019986734,.3301968540655533
131.10239,7,146.0453312514229,132.9507496179421,134.0624220272722,.2757529783731046,.2154649141864704
85.797783,8,156.3137553732388,139.3191545424588,142.4855651145139,.163440225728366,.10032918719202
93.526138,9,142.56066643674,155.8922060902153,147.1827938327032,.1963580502515822,.129267469936918
586.04279,10,145.8925372396821,140.4307420490006,140.6822656231205,.9552658492998453,.9251303043596134
182.00578,11,142.5396038004636,138.4965431745317,139.8159062197665,.3866850126639277,.3315407830258588
368.00977,12,151.3327522677509,151.3623818451708,158.6226167348478,.6677140591978254,.6288136957928263
104.09378,13,161.8932422011053,145.784190048621,137.8577219729413,.1971111582993801,.1383185827119004
158.7966,14,147.9796425505437,145.1860558325895,154.6848655749847,.3295069818278189,.2732328467702738
162.17583,15,137.4240530738726,142.2711636046204,153.8549388708082,.3579301340854684,.2989527652343732
178.37277,16,145.386459391159,153.798267647386,140.789908882328,.3733407421495719,.3185598852293015
144.6284,17,138.5428191263049,158.4007580178733,127.5924232804144,.3183369220083402,.2574144678880282
147.52304,18,147.44069574317,153.5038619006883,153.3443738331744,.3076953165898157,.2499273041600953
84.118782,19,154.6007110443957,157.1905716295457,140.7617521855927,.1613185546969947,.0973454117145014
181.7562,20,149.0278118438619,162.2937967104818,136.952083989252,.3721503039284065,.318679014887171
212.95621,21,148.1110285698459,148.193265941694,144.007290621117,.431919807991085,.3813109142196193
292.90561,22,140.8834574220952,137.8152637662337,147.4091971194921,.5884194750420002,.5430398545126751
218.70497,23,146.685012770972,145.7271858086698,141.4749065674499,.4456912995793744,.395294620104118
240.52493,24,150.6428620003649,163.2348727277767,148.8660860139881,.473958878910418,.4263191950630345
102.28101,25,147.6782095251263,149.4266800709444,159.1139451108326,.2101046721817447,.1463278253372725
115.82224,26,143.7768504953832,146.4036411564574,165.9364885898773,.2459664356199924,.1827852228342466
232.28781,27,144.6500047915243,154.1739066214518,156.6340692561967,.4750281630399793,.4254193638152949
110.98846,28,144.9502128660402,151.8980028253871,161.8490684232778,.2334064578358476,.1699355005045298
94.511719,29,148.4972225706351,150.5339384228025,145.8534332317605,.1914600750309866,.1268135470723968
146.78011,30,138.610288590679,139.6747809168503,150.4355849132632,.3228342729330937,.2622240826888131
177.18152,31,136.2783935534928,158.8239687111455,164.4401588580487,.3915248495079749,.3340595076040485
250.02625,32,151.6066548858485,153.3500391061431,155.7349000887963,.4875006073080639,.4408227569382958
282.43512,33,156.410895333157,138.2134652046924,142.2782414799895,.5271498806308947,.483734916888569
170.45047,34,141.0238649418095,130.3401859230199,151.4403612980945,.3670660899439361,.3101756835858471
204.36041,35,146.5958159552677,148.9805146322155,146.0721367698635,.4198269171694498,.3680426794043565
195.37595,36,147.3076962790884,139.7020501509249,166.4881992729068,.4015321112899941,.3490279122417765
223.19281,37,142.3817020662875,149.2156872217886,156.9665676827021,.4646741014284827,.4137163608896251
99.97850800000001,38,153.0222429626495,139.7696235346911,140.4498371572042,.1984066965811314,.1361806738345477
121.86551,39,147.523943795597,143.9259834391586,154.3314586850983,.2535629965311452,.1925171128858638
126.18256,40,142.1351379122086,142.4100864241985,145.6075860391028,.2715775910366389,.2093108425762422
84.86277800000001,41,142.2098611096751,154.4876719535015,155.4368546103031,.176020311113593,.1073280214653978
97.64634700000001,42,156.6490596108827,156.5354708478437,155.1691678047535,.1891804350211201,.1278591436863582
132.16776,43,166.596503325887,150.0384834969272,168.3709942955128,.2476263384329473,.1934315065192568
87.569778,44,140.7698626979923,129.4944761546069,144.4481303713759,.184264507676565,.1154346061383459
157.83678,45,151.2281503998025,142.2512359569934,134.8460578478265,.321569333558906,.2660869496272502
162.98952,46,143.3247261336938,141.847496735552,159.2525898841951,.3471158680205964,.2900045322496978
227.30862,47,132.3223442260247,146.4257857505387,143.3956439945812,.5003173309965026,.4473530049329937
172.64503,48,144.6567871326336,145.0441678930672,149.4501410303089,.3636634547017178,.3080478906485207
165.06454,49,147.6807492283711,153.2798672634529,135.4998138704836,.3425356652789713,.28689499437703
165.4417,50,143.8065882077252,161.2973976222669,145.4070756430509,.3510777856035542,.2943949119414941
106.51476,51,137.4294805430604,149.4874972541393,140.3425402583285,.2342049992297146,.1671969590298102
174.5822,52,143.414840684709,149.143878216438,150.4762080471025,.3701412454231036,.3144028816176223
71.70658899999999,53,144.921121333532,141.3564550537638,141.4050956189459,.1411122892272266,.0712708742989973
141.19891,54,150.2877732453938,153.9272193344649,157.4148096947491,.2898057350607138,.232111198080778
210.96774,55,164.3971382124959,159.2519298704446,128.8966239260823,.3932065495871051,.3458887965338229
122.69978,56,155.2135338529774,140.9339973996521,148.2408533096505,.2441370063140128,.185639811625511
82.18332700000001,57,161.8741555364538,158.5208960555418,147.2637269469528,.1503833226797617,.0886822721771509
176.63481,58,143.7341608027432,146.1972882228939,138.73213112754,.3735014884636777,.31808228030783
84.67796300000001,59,151.7701840708672,145.0218271884346,141.1614928154641,.1653773419695198,.1004442294608351
178.07153,60,153.2240427008348,157.4621665447022,156.7109695620569,.3567098673890255,.3039113207816999
117.58498,61,151.4445546647915,149.807259145006,150.673129358865,.2386399672236759,.1783015154696274
100.48905,62,133.2846429726478,137.7388746705971,152.221830082077,.2259644646069632,.1562061573109936
202.13036,63,138.1772275780133,141.4685933891598,136.5891967674807,.4362210188030424,.3821128286512144
183.37108,64,144.6947045227983,152.1001620459001,160.673607080233,.384540389545336,.3301203874923407
134.23392,65,153.143933330491,154.1519263757131,146.4490620759212,.2709487267159246,.2132523644381205
247.56487,66,149.1623900331448,156.7359045058245,134.7369431316492,.4896560422092203,.4422995086195893
141.44931,67,148.5812001926658,148.6689973766846,152.4180175451899,.2932079968393592,.2350352272872782
135.40376,68,150.7283308322939,142.2961151406909,147.1986607679934,.2771656277692506,.2188912458269047
217.67355,69,156.004197098043,133.9759760252644,146.0356669965337,.422195012374186,.3737287007792778
183.26939,70,147.4435439531979,151.5927011867461,148.4597441236525,.3783768483555545,.3246599509623505
371.43094,71,156.4051075336802,150.2508287841536,154.2304975907811,.6564636687947153,.6184151414126845
169.23941,72,150.1597852765715,152.6958500753482,155.5467680193829,.3458539089569415,.2913436430981823
247.44257,73,134.2406078389626,138.6831797718447,146.7398355801205,.531571590869488,.4810313471978584
104.48649,74,152.1877491705478,143.4839074011048,155.2477093072407,.2093161696368146,.1474384738598057
140.9261,75,147.0816006328827,148.5913115499531,137.4196011001881,.2947075537983257,.2360146144673987
141.53831,76,143.9373306539133,142.7701679490613,151.5245171807716,.3015616650684265,.2419697494933123
99.488434,77,151.4863367712476,148.9695537371654,156.8657631746391,.1991408264049534,.1363112683297686
181.98326,78,151.4949296045558,155.4839997480248,134.8513877206956,.3675034643851191,.3146747951680972
120.72269,79,151.0693374235998,149.6190008815993,158.4259236200987,.245864616115873,.185820479199324
240.12924,80,146.6989985135225,158.4328341354114,150.4860356700422,.4833722161082561,.4348898690986051
167.76416,81,158.3366224600383,153.5234259435601,148.2963709229217,.3278846398317168,.2753023371557804
487.71527,82,153.4284344695824,152.3577186388074,152.7072550403266,.8142291038083944,.7811856161066558
98.325058,83,137.8929641890893,136.8421083088058,137.6579094726204,.2139889089914728,.1458025604401521
133.98633,84,149.5973979101821,152.1605443302762,137.6919714828329,.2760437713376843,.2172477540225326
126.94736,85,163.6856645545266,143.4109069217297,139.4964976424181,.2412751600070112,.1857279341369957
84.50155599999999,86,150.8405116089163,158.4270658390437,148.7555083266986,.1659092892330538,.1005985228909871
107.86498,87,154.040304600907,145.5576927071541,144.1003216400258,.2143432870379155,.1535489156066254
140.07367,88,143.4853325549244,157.0189472412705,153.6383698473214,.2992763371798374,.2393500072567251
258.17233,89,152.8384933981454,129.4175741242729,161.718817211989,.4977900146741223,.4519821256806071
110.14497,90,144.5764582627912,141.3211095668118,147.2160142350986,.2320451643867357,.1683152760965071
128.33084,91,139.889094872494,156.193063371937,148.1292835844586,.2801692343757458,.2174292850833923
113.14455,92,150.1250709987223,137.3062025957313,145.6327939532937,.2309012345219405,.1695281607743065
114.99008,93,154.7627782287637,142.8076283760274,148.6460106011689,.2286102705289649,.1689915821912432
129.98201,94,139.4919526284654,150.6773151759951,140.6876711113103,.2845312902147963,.221889619071137
90.060135,95,156.1821049296867,131.7830112394339,148.4581582777923,.1730454174265987,.1105025653426096
225.18932,96,136.7033187934258,155.0770598646728,149.8698465622439,.4837012139015571,.4315975070593447
95.365616,97,144.1379323379545,138.1522171290578,147.3813723739912,.1987139918786399,.1325438361396468
153.34853,98,140.2208061165755,150.6232076131126,158.5074057021826,.3335470993802788,.2743118036526193
104.3952,99,148.9595564591333,144.3733039326389,157.4468096743872,.2131972640881787,.1501881990197805
163.95123,100,137.1734630627492,128.6364658245315,136.4941901954874,.362189289788539,.3033595994026549
139.8111,101,143.8553798250794,141.8501523630312,155.2388121243086,.298054173273641,.2382113736057738
186.89285,102,153.1377373358685,147.0078752904562,139.8397420371,.3733108187672244,.3213744758275252
208.78304,103,145.1399896400713,131.3654622626419,157.6791860364607,.4314275482735889,.3797293432307018
193.93622,104,160.6695728459781,164.9256957991142,158.9004703631555,.3711064625476405,.3215541432614212
98.55487100000001,105,138.8560204992138,137.5514447882798,155.4192739202991,.2132016276318314,.1454494065186784
100.05972,106,146.9081284875942,129.1465026398479,150.1407288187423,.2060535251613525,.1416625566765767
169.69017,107,152.9770581433209,160.3037520063072,153.4560140082713,.3413158628479268,.2875869130370805
164.71515,108,149.8547432937297,165.5321956889662,134.9003719624438,.337635819277129,.282548103817141
137.92595,109,141.2030690952533,152.0206977974433,156.4253676450437,.2988226875212056,.2378691552479844
228.2332,110,133.5205849008507,158.9367803668746,143.064171792908,.4985083783781151,.4459345032754724
188.5499,111,143.3583291368687,141.2037706967612,133.0059881133171,.3975380162321606,.3433255961207217
89.53312699999999,112,141.0576395314367,152.4917007836838,178.5441138932425,.1886689324280421,.1202967977354438
167.41455,113,149.5303744171873,155.3179699959141,132.1685374477871,.3435330085843406,.288656135852519
123.8168,114,157.2866299811713,158.8840533606121,140.1694124473438,.243568058576517,.1858307547261976
99.87784600000001,115,138.6416634738187,146.2502683956494,143.1065174693161,.2166610853160311,.1490429355493582
444.62579,116,141.7163656868163,146.3256093269998,158.8368846813824,.8048676940079351,.7687007618155902
151.89798,117,147.4533956032476,148.8438403782604,139.8959645816901,.3165964523225643,.2593603693344704
172.5105,118,161.0697648833021,147.9299056416562,153.3854046299483,.3318576793167539,.2804013136479564
203.45067,119,158.3108248315148,150.6294537268411,133.8318441924436,.3925357936717606,.3433196043328012
113.61374,120,132.1412152606364,136.3120896773125,151.8454581910478,.2597013364676575,.1917337861141443
196.03346,121,142.1828510885749,158.9163493737188,130.8596804237619,.4146377977470218,.3609170103092577
134.73686,122,160.8677026660555,133.6667955596065,139.1978118259151,.2604783296309487,.2050359616586123
139.16637,123,141.1862292919319,137.8921091405865,140.0832774899334,.3015277624046431,.2407365238464097
