estimator,estimate,std_error,p_value,conf_low,conf_high,observations,units,periods,pre_treated_average,r_squared,time_window,lags_only,covariates,inference
aggregate_did,.0643767291004113,.030487552,.043777347,.0019258107,.12682764,1530,51,30,84.88000000000001,,2023m4-2025m9,Yes,No,HAC Newey-West lag 2
aggregate_sdid,.0759044,.0460531,.099313058,-.014358018,.16616681,1530,51,30,84.88000000000001,,2023m4-2025m9,No,No,placebo
