month,synthetic,treated,gap,sq_full,sq_recent
2021m7,1.893849983120214,2.09186410877342,.1980141256532055,.0337232937153308,
2021m8,1.947786199651927,2.397895272798371,.4501090731464437,.0046862124996817,
2021m9,2.000688597815253,2.433613321938192,.4329247241229393,.0026287736283711,
2021m10,1.986128984410197,2.351375257163478,.3652462727532801,.000269185840084,
2021m11,2.06009237750061,2.46809954763559,.4080071701349799,.0006945340253473,
2021m12,1.968287030118702,2.341805769467545,.3735187393488431,.0000661687452674,
2022m1,1.873645429206277,2.2793165129087,.4056710837024231,.0005768608186021,
2022m2,1.835194818804011,2.130609837315274,.2954150185112627,.0074370164742799,
2022m3,1.98473243065431,2.342766867969059,.3580344373147486,.0005578439043093,
2022m4,1.857444767491403,2.171336858580632,.3138920910892291,.0045915620095801,
2022m5,1.925670164422765,2.247072387096237,.3214022226734712,.0036301750482886,
2022m6,1.868605870622692,2.3636802031197,.4950743324970086,.0128643631244102,
2022m7,1.818515108851098,2.079441541679836,.2609264328287377,.0145749418511166,
2022m8,1.931138355976722,2.428336311755328,.4971979557786057,.0133506005994477,
2022m9,1.972999659531957,2.376764533671887,.4037648741399293,.0004889280491637,
2022m10,1.933119124854756,2.341805769467545,.4086866446127884,.0007308094699784,
2022m11,2.003980073700151,2.445819257774323,.4418391840741727,.0036223578938622,
2022m12,1.899450151350001,2.250238588503624,.350788437153623,.0009526309112521,
2023m1,1.882784073683703,2.258633173576066,.3758490998923634,.0000336870751584,
2023m2,1.799143055521643,2.159868799592214,.3607257440705707,.0004379565983966,
2023m3,1.934168501216269,2.306577110464084,.3724086092478147,.0000854616571691,
2023m4,1.795354732739112,2.13534917812723,.3399944453881187,.0017354482262442,.0025006712903977
2023m5,1.927992010253967,2.269028317354959,.3410363071009925,.001649728469474,.0023975566080426
2023m6,1.878305194002363,2.40061880905609,.5223136150537264,.0197853645507718,.0175065863335306
2023m7,1.809483633878118,2.186051233876326,.3765675999982083,.0000258628867324,.0001804604763297
2023m8,1.900414635034288,2.374905754573672,.4744911195393833,.0086188873484511,.0071385536277055
2023m9,1.882710641515425,2.300583044455268,.4178724029398428,.0013118337998539,.0007768063033305
2023m10,1.98564391089201,2.344686298272104,.3590423873800934,.0005112468881946,.0009584454684836
2023m11,1.993946345435512,2.420368128650429,.4264217832149175,.0020042299220982,.001326461952589
2023m12,1.859510864367026,2.193885705839802,.3343748414727763,.0022352390885429,.0030942870727561
2024m1,1.930035261537307,2.281361452645895,.3513261911085876,.0009197248405831,.0014957530517938
2024m2,1.871115732393515,2.20276477878751,.3316490463939956,.0025004110451874,.0034049689103849
2024m3,1.858910137012675,2.156402622552393,.2974924855397176,.0070830185662652,.0085578544510432
2024m4,1.914897454971702,2.329227068513365,.414329613541663,.0010677508332331,.0005918737567536
2024m5,1.893660543876459,2.277267285009756,.3836067411332968,3.81649222818e-06,.0000408885650385
2024m6,1.769685480162066,2.249184267979622,.4794987878175563,.0095737675333084,.0080098257713266
2024m7,1.879716015685888,2.187174224357253,.3074582086713646,,
2024m8,1.84964792175523,2.275213849151287,.4255659273960561,,
2024m9,1.916652167656378,2.291524180348751,.3748720126923732,,
2024m10,2.04221354085766,2.37397506776956,.3317615269119001,,
2024m11,1.971268527532339,2.356125878001209,.3848573504688704,,
2024m12,1.889267103840782,2.148267696999912,.2590005931591293,,
2025m1,1.922698572427026,2.321406806055369,.3987082336283432,,
2025m2,1.816347774254397,2.137710395822245,.3213626215678484,,
2025m3,1.865821966083755,2.211565707141479,.3457437410577249,,
2025m4,1.903955009620795,2.180417502123761,.276462492502966,,
2025m5,1.856034684353402,2.282382405139267,.4263477207858648,,
2025m6,1.818043355507059,2.235376384099496,.4173330285924377,,
2025m7,1.871875666424759,2.173614707357271,.3017390409325114,,
2025m8,1.787328681659933,2.192770231244314,.4054415495843808,,
2025m9,1.924122603032326,2.304583141341715,.3804605383093891,,
