month,synthetic,treated,gap,sq_full,sq_recent
2020m1,4.684201877719786,4.623010104116422,-.0611917736033645,.0001636339963913,
2020m2,4.687037624773395,4.61512051684126,-.0719171079321352,4.27090220482e-06,
2020m3,4.700018303114821,4.637637376125593,-.0623809269892286,.0001346248997805,
2020m4,4.692205422797754,4.623991940228679,-.0682134825690746,.0000332956868213,
2020m5,4.689948174848815,4.630837932736669,-.0591102421121459,.0002212204651442,
2020m6,4.700713013296306,4.617098756853365,-.0836142564429405,.0000927471540494,
2020m7,4.709935222274456,4.624972813284271,-.0849624089901857,.0001205315228767,
2020m8,4.700007650359141,4.61015772749913,-.0898499228600107,.0002517362644777,
2020m9,4.698909066118054,4.603168183317418,-.0957408828006354,.0004733739566245,
2020m10,4.702379771800899,4.616110126026426,-.0862696457744736,.0001509438724642,
2020m11,4.68897055591891,4.619073091157083,-.0698974647618273,.000016697515022,
2020m12,4.688780334240453,4.616110126026426,-.0726702082140269,1.72532386800e-06,
2021m1,4.693884359357203,4.617098756853365,-.076785602503838,7.85052283456e-06,
2021m2,4.696159213369243,4.618086411254637,-.0780728021146055,.0000167205593666,
2021m3,4.699486872875578,4.60816569496789,-.0913211779076883,.0003005873060477,
2021m4,4.694976917171243,4.634728988229636,-.0602479289416067,.0001886720674339,
2021m5,4.703681954029841,4.637637376125593,-.0660445779042487,.0000630300416242,
2021m6,4.701165564784353,4.630837932736669,-.0703276320476842,.0000133670087757,
2021m7,4.70674360556135,4.644390899141372,-.0623527064199774,.0001352805712573,
2021m8,4.713339831578304,4.641502115235482,-.0718377163428228,4.60534910647e-06,
2021m9,4.716976566207021,4.631812116934513,-.0851644492725079,.0001250086163595,
2021m10,4.723787764963562,4.641502115235482,-.0822856497280808,.0000689219698591,
2021m11,4.720577727307553,4.651099117876491,-.0694786094310622,.0000202960577869,
2021m12,4.732617536383781,4.670957926526095,-.0616596098576867,.0001518837907814,
2022m1,4.748052097383229,4.675628649636653,-.0724234477465764,2.43446216280e-06,
2022m2,4.760813749397211,4.71492104994721,-.0458926994500004,.0007891056634339,
2022m3,4.77655912698304,4.747537427275013,-.0290216997080268,.0020215836334981,
2022m4,4.81816983801483,4.805659046737495,-.012510791277335,.0037789214644518,
2022m5,4.866678591421662,4.839451481712757,-.027227109708905,.0021861809852346,
2022m6,4.895164824123194,4.874433672915854,-.0207311512073396,.0028358365150379,
2022m7,4.896908026668092,4.896346147694128,-.0005618789739632,.0053907673353003,
2022m8,4.900138314801933,4.891100725401066,-.009037589400867,.0042180004066866,
2022m9,4.919889406707659,4.882044059723269,-.0378453469843905,.0013059822973943,
2022m10,4.918859813234199,4.8629083820668,-.0559514311673981,.0003251635868325,
2022m11,4.908498139480325,4.820281565605037,-.0882165738752878,.0002025740139688,
2022m12,4.902083773165955,4.807294370078226,-.094789403087729,.0004328762799573,
2023m1,4.90247113269512,4.823502180305079,-.0789689523900412,.0000248525015392,
2023m2,4.908554996934414,4.812184355372417,-.0963706415619967,.0005011740754052,
2023m3,4.90610737296495,4.799090878625398,-.1070164943395522,.0010911639125836,
2023m4,4.90781527952429,4.801558999993482,-.1062562795308084,.0010415178368528,.0001091120779064
2023m5,4.907190754940297,4.809742351716865,-.0974484032234315,.0005505911684146,2.68237698463e-06
2023m6,4.908228057061248,4.825910852685991,-.0823172043752578,.0000694468942258,.0001820719101493
2023m7,4.915504743450707,4.827513417131532,-.0879913263191749,.0001962129211538,.0000611411479061
2023m8,4.907488673069004,4.823502180305079,-.0839864927639251,.0001000553818175,.0001398096737487
2023m9,4.895766407577643,4.797442073635214,-.0983243339424291,.0005924652896269,6.31882393175e-06
2023m10,4.896931222687524,4.802380355275797,-.0945508674117272,.0004230073858011,1.58694343403e-06
2023m11,4.89117362941132,4.795790545596741,-.0953830838145784,.0004579325980626,1.82775939603e-07
2023m12,4.892258175680773,4.77912349311153,-.1131346825692434,.0015327975524792,.0003001235997779
2024m1,4.892604396729791,4.811371016571989,-.0812333801578013,.0000525575135895,.0002124955378239
2024m2,4.897782901657743,4.783316371371566,-.1144665302861769,.0016388576002427,.0003480434795276
2024m3,4.90202123954518,4.804021044733257,-.0980001948119229,.0005767908675539,4.79429547482e-06
2024m4,4.901991663646632,4.804840381116659,-.097151282529973,.0005367357656293,1.79741129836e-06
2024m5,4.900606186266151,4.803201036487226,-.0974051497789246,.0005485631828786,2.54256717536e-06
2024m6,4.90494100259691,4.815431111471288,-.0895098911256227,.0002410618638633,.0000396990185478
2024m7,4.904845391864974,4.843399374720342,-.0614460171446325,,
2024m8,4.905120577738177,4.832305758571839,-.0728148191663376,,
2024m9,4.904954226439795,4.827513417131532,-.0774408093082632,,
2024m10,4.909731938635041,4.829113417472866,-.080618521162175,,
2024m11,4.914668263330578,4.825108606353353,-.0895596569772259,,
2024m12,4.920099485013862,4.819474788635096,-.1006246963787651,,
2025m1,4.935355962497438,4.861361591348501,-.0739943711489364,,
2025m2,4.941313877107878,4.855150391255861,-.0861634858520173,,
2025m3,4.962515041985963,4.887337077751762,-.075177964234201,,
2025m4,4.987607326044012,4.922168312773925,-.0654390132700868,,
2025m5,5.018715915217971,4.947340443723943,-.0713754714940285,,
2025m6,5.042765748850172,5.001930853466109,-.0408348953840632,,
2025m7,5.056600822892479,5.033048888933155,-.0235519339593235,,
2025m8,5.064558389330905,5.033700567027251,-.0308578223036537,,
2025m9,5.092758788298685,5.043425116919247,-.0493336713794381,,
