persistence,taxable_share,incremental_pass_through,damage_dkk_kg,announcement_dkk_kg,attribution_share,implementation_dkk_kg,remaining_gap_dkk_kg,conf_low,conf_high,sensitivity_low,sensitivity_high
0,0,0,65.91385890609959,0,1,0,65.91385890609959,65.91385890609959,65.91385890609959,32.67169006364116,150.6683700465805
0,0,.5,65.91385890609959,0,1,0,65.91385890609959,65.91385890609959,65.91385890609959,32.67169006364116,150.6683700465805
0,0,1,65.91385890609959,0,1,0,65.91385890609959,65.91385890609959,65.91385890609959,32.67169006364116,150.6683700465805
0,.5,0,65.91385890609959,0,1,0,65.91385890609959,65.91385890609959,65.91385890609959,32.67169006364116,150.6683700465805
0,.5,.5,65.91385890609959,0,1,1.876290787221905,64.03756811887769,64.03756811887769,64.03756811887769,30.79539927641925,148.7920792593586
0,.5,1,65.91385890609959,0,1,3.75258157444381,62.16127733165578,62.16127733165578,62.16127733165578,28.91910848919735,146.9157884721367
0,1,0,65.91385890609959,0,1,0,65.91385890609959,65.91385890609959,65.91385890609959,32.67169006364116,150.6683700465805
0,1,.5,65.91385890609959,0,1,3.75258157444381,62.16127733165578,62.16127733165578,62.16127733165578,28.91910848919735,146.9157884721367
0,1,1,65.91385890609959,0,1,7.50516314888762,58.40869575721197,58.40869575721197,58.40869575721197,25.16652691475354,143.1632068976929
.5,0,0,65.91385890609959,4.895610765876381,1,0,61.01824814022321,55.95822382112958,65.77193498550051,26.94371281410932,144.7436705727836
.5,0,.5,65.91385890609959,4.895610765876381,1,0,61.01824814022321,55.95822382112958,65.77193498550051,26.94371281410932,144.7436705727836
.5,0,1,65.91385890609959,4.895610765876381,1,0,61.01824814022321,55.95822382112958,65.77193498550051,26.94371281410932,144.7436705727836
.5,.5,0,65.91385890609959,4.895610765876381,1,0,61.01824814022321,55.95822382112958,65.77193498550051,26.94371281410932,144.7436705727836
.5,.5,.5,65.91385890609959,4.895610765876381,1,1.876290787221905,59.1419573530013,54.08193303390767,63.8956441982786,25.06742202688741,142.8673797855617
.5,.5,1,65.91385890609959,4.895610765876381,1,3.75258157444381,57.2656665657794,52.20564224668577,62.0193534110567,23.19113123966551,140.9910889983398
.5,1,0,65.91385890609959,4.895610765876381,1,0,61.01824814022321,55.95822382112958,65.77193498550051,26.94371281410932,144.7436705727836
.5,1,.5,65.91385890609959,4.895610765876381,1,3.75258157444381,57.2656665657794,52.20564224668577,62.0193534110567,23.19113123966551,140.9910889983398
.5,1,1,65.91385890609959,4.895610765876381,1,7.50516314888762,53.51308499133559,48.45306067224196,58.26677183661289,19.4385496652217,137.238507423896
1,0,0,65.91385890609959,9.791221531752763,1,0,56.12263737434683,46.00258873615957,65.63001106490142,19.91271665110927,140.8677158333911
1,0,.5,65.91385890609959,9.791221531752763,1,0,56.12263737434683,46.00258873615957,65.63001106490142,19.91271665110927,140.8677158333911
1,0,1,65.91385890609959,9.791221531752763,1,0,56.12263737434683,46.00258873615957,65.63001106490142,19.91271665110927,140.8677158333911
1,.5,0,65.91385890609959,9.791221531752763,1,0,56.12263737434683,46.00258873615957,65.63001106490142,19.91271665110927,140.8677158333911
1,.5,.5,65.91385890609959,9.791221531752763,1,1.876290787221905,54.24634658712493,44.12629794893767,63.75372027767952,18.03642586388737,138.9914250461692
1,.5,1,65.91385890609959,9.791221531752763,1,3.75258157444381,52.37005579990302,42.25000716171576,61.87742949045762,16.16013507666546,137.1151342589473
1,1,0,65.91385890609959,9.791221531752763,1,0,56.12263737434683,46.00258873615957,65.63001106490142,19.91271665110927,140.8677158333911
1,1,.5,65.91385890609959,9.791221531752763,1,3.75258157444381,52.37005579990302,42.25000716171576,61.87742949045762,16.16013507666546,137.1151342589473
1,1,1,65.91385890609959,9.791221531752763,1,7.50516314888762,48.61747422545921,38.49742558727196,58.12484791601381,12.40755350222165,133.3625526845035
