panel,x,y,persistence,taxable_share,incremental_pass_through,beta,beta_low,beta_high,pre_price_dkk_kg,damage_dkk_kg,announcement_dkk_kg,attribution_share,implementation_dkk_kg,remaining_gap_dkk_kg,conf_low,conf_high,sensitivity_low,sensitivity_high
1,0,.26,0,.25,.26,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,.4878356046776953,65.42602330142189,65.42602330142189,65.42602330142189,32.18385445896346,150.1805344419028
1,0,.9,0,.25,.9,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,1.688661708499715,64.22519719759988,64.22519719759988,64.22519719759988,30.98302835514144,148.9797083380808
1,0,.62,0,.25,.62,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,1.163300288077581,64.75055861802201,64.75055861802201,64.75055861802201,31.50838977556358,149.5050697585029
1,0,.12,0,.25,.12,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,.2251548944666286,65.68870401163296,65.68870401163296,65.68870401163296,32.44653516917453,150.4432151521139
3,0,.5600000000000001,0,.75,.5600000000000001,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,3.152168522532801,62.76169038356679,62.76169038356679,62.76169038356679,29.51952154110836,147.5162015240477
3,0,.82,0,.75,.82,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,4.615675336565887,61.29818356953371,61.29818356953371,61.29818356953371,28.05601472707527,146.0526947100146
1,0,.36,0,.25,.36,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,.6754646833998857,65.23839422269971,65.23839422269971,65.23839422269971,31.99622538024127,149.9929053631806
2,0,.5,0,.5,.5,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,1.876290787221905,64.03756811887769,64.03756811887769,64.03756811887769,30.79539927641925,148.7920792593586
4,0,.96,0,1,.96,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,7.204956622932115,58.70890228316748,58.70890228316748,58.70890228316748,25.46673344070904,143.4634134236484
3,0,.96,0,.75,.96,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,5.403717467199086,60.5101414389005,60.5101414389005,60.5101414389005,27.26797259644207,145.2646525793814
4,0,.26,0,1,.26,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,1.951342418710781,63.96251648738881,63.96251648738881,63.96251648738881,30.72034764493038,148.7170276278697
1,0,.14,0,.25,.14,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,.2626807102110667,65.65117819588852,65.65117819588852,65.65117819588852,32.40900935343009,150.4056893363694
