estimator,estimate,std_error,p_value,conf_low,conf_high,observations,units,periods,pre_treated_average,r_squared,time_window,lags_only,covariates,inference,pre_rmse,treatment_series,plot_position,meta_gap_effective_120,meta_gap_low_effective_120,meta_gap_high_effective_120,meta_gap_marginal_300,meta_gap_low_marginal_300,meta_gap_high_marginal_300
aggregate_did,.064376727,.030487552,.043777347,.0019258107,.12682764,1530,51,30,84.879997,,2023m4-2025m9,Yes,No,HAC Newey-West lag 2,,,1,.3340871855715264,.1552747087863932,.6735430045026338,.2777918413154026,.0893721595736382,.6333955959427451
aggregate_sdid,.075904399,.0460531,.099313058,-.014358018,.16616681,1530,51,30,84.879997,,2023m4-2025m9,No,No,placebo,,,2,.3340871855715264,.1552747087863932,.6735430045026338,.2777918413154026,.0893721595736382,.6333955959427451
country_sdid_HICP,.015665499,.0292872,.59272426,-.041736357,.07306736,810,27,30,122.21333,,2023m4-2025m9,,,placebo,.0099884672,Denmark,3,.3340871855715264,.1552747087863932,.6735430045026338,.2777918413154026,.0893721595736382,.6333955959427451
