t,synthetic,treated,month,gap,synthetic_aligned,centered_gap_sq
1,1.819387371676913,2.13534917812723,2023m4,.3159618064503174,2.185903320930112,.0025557213545341
2,1.947508955754136,2.269028317354959,2023m5,.3215193616008236,2.314024905007334,.0020246929003579
3,1.90853979831658,2.40061880905609,2023m6,.4920790107395097,2.275055747569779,.0157660824098151
4,1.841829346545668,2.186051233876326,2023m7,.3442218873306582,2.208345295798867,.0004970251970061
5,1.932066473769224,2.374905754573672,2023m8,.4428392808044472,2.298582423022423,.0058252509390818
6,1.908815784712976,2.300583044455268,2023m9,.3917672597422921,2.275331733966174,.0006376286814166
7,1.994461845519408,2.344686298272104,2023m10,.3502244527526956,2.360977794772607,.0002654128582259
8,2.005438283144059,2.420368128650429,2023m11,.4149298455063706,2.371954232397258,.0023439053504129
9,1.858637795732474,2.193885705839802,2023m12,.335247910107328,2.225153744985673,.0009776902720277
10,1.937851327999508,2.281361452645895,2024m1,.3435101246463865,2.304367277252707,.0005292679658394
11,1.881117720035097,2.20276477878751,2024m2,.3216470587524136,2.247633669288295,.0020132173347715
12,1.856148939032413,2.156402622552393,2024m3,.3002536835199803,2.222664888285612,.0043906878600997
13,1.930398920399937,2.329227068513365,2024m4,.3988281481134277,2.296914869653136,.001044078195183
14,1.919073825531623,2.277267285009756,2024m5,.3581934594781326,2.285589774784822,.0000692638360561
15,1.90038133619205,2.187174224357253,2024m7,.2867928881652033,2.266897285445248,
16,1.878247460684065,2.275213849151287,2024m8,.3969663884672212,2.244763409937264,
17,1.933074954301761,2.291524180348751,2024m9,.3584492260469896,2.29959090355496,
18,2.04471850173834,2.37397506776956,2024m10,.3292565660312206,2.411234450991539,
19,1.970090163770704,2.356125878001209,2024m11,.3860357142305046,2.336606113023903,
20,1.872637916433385,2.148267696999912,2024m12,.2756297805665264,2.239153865686584,
21,1.942431558533662,2.321406806055369,2025m1,.378975247521707,2.30894750778686,
22,1.821985925253734,2.137710395822245,2025m2,.3157244705685107,2.188501874506933,
23,1.866327521079387,2.211565707141479,2025m3,.3452381860620926,2.232843470332586,
24,1.915837393420496,2.180417502123761,2025m4,.2645801087032646,2.282353342673695,
25,1.878721063466335,2.282382405139267,2025m5,.403661341672932,2.245237012719534,
26,1.832161964798978,2.235376384099496,2025m6,.4032144193005178,2.198677914052177,
27,1.897813026817805,2.173614707357271,2025m7,.2758016805394654,2.264328976071004,
28,1.80652623834126,2.192770231244314,2025m8,.3862439929030541,2.173042187594458,
29,1.927877435934471,2.304583141341715,2025m9,.376705705407244,2.29439338518767,
