treated,synthetic,month,gap
4.437224795138644,4.451270138741088,2023m4,-.0140453436024437
4.444884056054749,4.462316108641498,2023m5,-.0174320525867486
4.46118433545971,4.498128299175255,2023m6,-.0369439637155446
4.463260939805398,4.493023429577689,2023m7,-.029762489772291
4.459103409853308,4.508853538382256,2023m8,-.0497501285289488
4.433194921248282,4.515020167966052,2023m9,-.08182524671777
4.437579593794131,4.504416464630701,2023m10,-.0668368708365703
4.431530829576971,4.432663185488923,2023m11,-.0011323559119516
4.414856779264584,4.345890049361069,2023m12,.068966729903515
4.446877606993498,4.378364473538335,2024m1,.0685131334551627
4.418840607796598,4.372072087146799,2024m2,.046768520649799
4.439587745198413,4.440678615013751,2024m3,-.0010908698153385
4.440177611315912,4.444382737068501,2024m4,-.0042051257525886
4.438288813682014,4.434831909344918,2024m5,.0034569043370958
4.450619426139493,4.449987987521249,2024m6,.0006314386182442
4.478699521934143,4.484918025750821,2024m7,-.0062185038166778
4.468089645439724,4.496908741827119,2024m8,-.0288190963873953
4.462915138407221,4.507137056835188,2024m9,-.0442219184279677
4.464527856185625,4.525289965261373,2024m10,-.060762109075748
4.460953335227682,4.477832583162762,2024m11,-.0168792479350799
4.455277096413474,4.501993254235847,2024m12,-.0467161578223729
4.496805161309966,4.519868217376849,2025m1,-.0230630560668823
4.490768925678116,4.547730805836515,2025m2,-.0569618801583998
4.523092074952484,4.539889536283053,2025m3,-.0167974613305688
4.55744944977668,4.571000902111776,2025m4,-.0135514523350961
4.582822322324184,4.604631779419555,2025m5,-.0218094570953715
4.637346917683312,4.605116338122098,2025m6,.0322305795612143
4.668426635623106,4.610908263884041,2025m7,.0575183717390653
4.669177315962384,4.642816983661531,2025m8,.026360332300853
4.679163865896418,4.675270220640203,2025m9,.0038936452562144
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
