study_id,scc_usd_2024,leave_one_out_mean
cai2016,166.8742157977767,159.6695417247293
nordhaus2017,74.23025241840891,169.9633154335479
ricke2018,599.8840343764905,111.5573396604277
cailontzek2019,54.31844155844155,172.1757388624332
pindyck2019,106.9859657365722,166.3237917315298
hansel2020,133.672221823751,163.3586521662877
vdb2021,52.67479531288593,172.3583662230505
dietz2021,78.54012448196892,169.484440759819
rennert2022,224.227196680203,153.2969882933486
barrage2024,112.4928431338417,165.7119164651665
