term,estimate,std_error,conf_low,conf_high,t_stat,p_value,relative_time,pre_period,treatment_group
-2,-0.2206510697137791,0.21252224045892848,-0.6371946610132789,0.1958925215857207,-1.038249310929985,0.2991540007986315,-2,True,beef
1,-0.07539896119045657,0.27431380018163676,-0.6130540095464646,0.4622560871655515,-0.2748639009066667,0.7834208021798188,1,False,beef
2,0.39616991109028077,0.4348466832341135,-0.4561295880485817,1.2484694102291432,0.9110565317960356,0.36226558805318587,2,False,beef
3,0.28810397884642025,0.3665151578620969,-0.43026573056328965,1.00647368825613,0.7860629299124944,0.43183062048153453,3,False,beef
4,0.5557476475224041,0.38953558807337835,-0.20774210510141744,1.3192374001462257,1.4266928736116296,0.15366844066697966,4,False,beef
5,0.03144040891813609,0.21457229836981048,-0.3891212958866924,0.4520021137229646,0.14652594559969367,0.8835062093277115,5,False,beef
6,0.10601641395602775,0.13594266090744445,-0.1604312014225634,0.37246402933461886,0.7798612536222771,0.4354725471041392,6,False,beef
7,0.5265023060769256,0.3975994125546715,-0.25279254253023054,1.3057971546840816,1.3242029274993696,0.18543565886218766,7,False,beef
8,0.38900813016766683,0.3217410951613702,-0.2416044163486188,1.0196206766839524,1.2090719401963825,0.22663520825698044,8,False,beef
-2,0.0819570078100201,0.09540577754925827,-0.10503831618652612,0.2689523318065663,0.8590361078259172,0.3903205952484152,-2,True,dairy_cattle
1,0.20277549238014414,0.11134131501872942,-0.015453485056565519,0.4210044698168538,1.8212061923827108,0.06857551953649085,1,False,dairy_cattle
2,0.10311209049479968,0.22381258281166116,-0.3355605718160562,0.5417847528056555,0.4607072989348805,0.6450086176825205,2,False,dairy_cattle
3,0.1903937783581468,0.26208766586168525,-0.3232980467307563,0.70408560344705,0.7264507382755877,0.46756249635292574,3,False,dairy_cattle
4,0.40236558532707545,0.2714114367294432,-0.12960083066263317,0.9343320013167841,1.4824931114755273,0.1382091351546864,4,False,dairy_cattle
5,0.06676317224653545,0.17181278695663463,-0.2699898901884684,0.4035162346815393,0.38858092828321567,0.6975861772005008,5,False,dairy_cattle
6,0.05181610677594326,0.1852177512965494,-0.31121068576529354,0.4148428993171801,0.2797577792259299,0.7796633460146056,6,False,dairy_cattle
7,0.1742554002810164,0.16261865389248112,-0.1444771613482466,0.4929879619102794,1.0715584965807747,0.28391838330752045,7,False,dairy_cattle
8,0.2980393145081522,0.17480462007527728,-0.044577740839391256,0.6406563698556956,1.7049853395168018,0.08819715869133964,8,False,dairy_cattle
-2,0.18992871904712355,0.4183492078782176,-0.6300357283941829,1.00989316648843,0.45399564638930123,0.6498319603150029,-2,True,lamb_sheep_goat
1,-0.6164362458747922,0.28980654501877573,-1.1844570741115925,-0.04841541763799173,-2.1270611601779215,0.033415001851323324,1,False,lamb_sheep_goat
2,-0.03501316403905515,0.25603286761723265,-0.5368375845688311,0.4668112564907208,-0.13675261447838635,0.8912263398156843,2,False,lamb_sheep_goat
3,-0.4172875134902699,0.40813961382472846,-1.2172411565867376,0.3826661296061979,-1.0224136529650119,0.3065851613148421,3,False,lamb_sheep_goat
4,-0.5592137732691225,0.38144535956456205,-1.3068466780156642,0.18841913147741918,-1.4660389994191867,0.14263766250599297,4,False,lamb_sheep_goat
5,-0.14794735012368723,0.46948548792786693,-1.0681389064623064,0.772244206214932,-0.31512656712068227,0.7526655577416755,5,False,lamb_sheep_goat
6,-0.5082507660269465,0.3906679981110065,-1.2739600423245192,0.25745851027062616,-1.3009787555788723,0.19326572661730868,6,False,lamb_sheep_goat
7,-0.5099463483501804,0.33277689488526635,-1.1621890623253024,0.14229636562494163,-1.53239709904138,0.12542447289901246,7,False,lamb_sheep_goat
8,-0.43038924107021376,0.3410782509433212,-1.0989026129191233,0.23812413077869582,-1.2618489741866707,0.20700313573054735,8,False,lamb_sheep_goat
-2,-0.10283068335834436,0.07253915215494362,-0.24500742158203387,0.03934605486534515,-1.4175887131779268,0.15631087730384977,-2,True,mixed_livestock
1,-0.07300543953564351,0.10237296448093045,-0.2736564499182672,0.12764557084698017,-0.7131320256847951,0.47576406370789676,1,False,mixed_livestock
2,0.7399739777778999,0.4694191574278618,-0.18008757078070925,1.660035526336509,1.576360840985949,0.11494266755697401,2,False,mixed_livestock
3,0.9477541945797797,0.5008444581190032,-0.033900943333466604,1.9294093324930262,1.8923124319658309,0.0584493655079261,3,False,mixed_livestock
4,1.002588889721402,0.5761078312184515,-0.12658245946676305,2.1317602389095667,1.7402799187800575,0.08180987838819634,4,False,mixed_livestock
5,1.3373103316340305,0.5806223540173764,0.19929051775997286,2.475330145508088,2.3032360403988315,0.021265566065911293,5,False,mixed_livestock
6,1.1225872662682586,0.581073517675673,-0.01631682837606041,2.2614913609125775,1.9319195112499212,0.05336944115592253,6,False,mixed_livestock
7,1.2109772323879788,0.5768216983972326,0.08040670352940293,2.341547761246555,2.0993961145234694,0.03578199692993493,7,False,mixed_livestock
8,0.8936994144605157,0.589768150007355,-0.26224615955390007,2.0496449884749315,1.515340247603012,0.12968626083274815,8,False,mixed_livestock
-2,0.2837412618335744,0.21861362177582203,-0.14474143684703678,0.7122239605141856,1.2979120858467716,0.19431754652730757,-2,True,pork
1,0.36318944210855386,0.22969602963244312,-0.08701477597103463,0.8133936601881424,1.5811742270413873,0.11383820656817652,1,False,pork
2,-0.12445649755556022,0.07969218429559254,-0.2806531787749216,0.031740183663801144,-1.561715225346677,0.11835509041472211,2,False,pork
3,0.043223577313765256,0.17376475853307505,-0.29735534941106184,0.38380250403859234,0.24874766137080617,0.8035559788433961,3,False,pork
4,0.5679792504084282,0.4023159952700183,-0.22056010032080764,1.356518601137664,1.4117739714207072,0.1580165247681554,4,False,pork
5,0.20157648513560114,0.17039739659225026,-0.13240241218520934,0.5355553824564117,1.1829786673206069,0.2368176020682667,5,False,pork
6,0.5205077772974371,0.3177851972252319,-0.10235120926401742,1.1433667638588916,1.637923294861732,0.10143769585388517,6,False,pork
7,0.712334350744359,0.4000960153305587,-0.07185383930353606,1.4965225407922542,1.780408510581715,0.0750091299750363,7,False,pork
8,0.7089606244031958,0.39609974259242403,-0.06739487107795528,1.485316119884347,1.7898537872383755,0.07347741966898653,8,False,pork
