term,estimate,std_error,conf_low,conf_high,t_stat,p_value,treatment_group,n_obs,n_units,n_periods,fixed_effects,cluster,r_squared,pre_treated_average,comparison_group
beef x post,0.058336987174582744,0.015724177066213253,0.02751760012480477,0.08915637422436072,3.710018459403653,0.00020724413588486422,beef,207369,16912,32,unit_id + period,unit_id,0.0002916383519283583,158.5362203535783,untreated_food_controls
dairy_cattle x post,0.03438057957982682,0.004573413849132488,0.025416688435527142,0.0433444707241265,7.51748709256835,5.583906941495537e-14,dairy_cattle,252903,20067,32,unit_id + period,unit_id,0.00046276096490849294,279.49900924747845,untreated_food_controls
lamb_sheep_goat x post,-0.08445367680373227,0.03234028423303572,-0.14784063390048227,-0.021066719706982262,-2.611407994907556,0.00901702469854057,lamb_sheep_goat,203630,16525,32,unit_id + period,unit_id,0.0002635752022041027,861.9325912609245,untreated_food_controls
mixed_livestock x post,-8.409186744847911e-05,0.0406063152215317,-0.07967246970165061,0.07950428596675364,-0.00207090613836069,0.9983476571463842,mixed_livestock,206215,16706,32,unit_id + period,unit_id,5.127865909670959e-10,135.86419243931616,untreated_food_controls
pork x post,-0.03578174931891252,0.006719976819694798,-0.04895290388551433,-0.02261059475231072,-5.324683444449385,1.0112899810362324e-07,pork,220563,17850,32,unit_id + period,unit_id,0.0003038906102175165,186.34852837031505,untreated_food_controls
