period,relative_time,series,mean_log_price,mean_price,units
2023-10-01,-8,beef,4.605650377938461,137.17372202925353,126
2023-11-01,-7,beef,4.803058679173042,176.4911309722185,359
2023-12-01,-6,beef,4.8064968709985205,157.91231904633608,207
2024-01-01,-5,beef,4.718976629890917,152.85948318315488,188
2024-02-01,-4,beef,4.6877477685768465,153.52609639877753,236
2024-03-01,-3,beef,4.730507775647306,149.93850710429342,251
2024-04-01,-2,beef,4.700281416926851,156.26001738108764,255
2024-05-01,-1,beef,4.7545691543928434,164.84679013274706,216
2024-07-01,1,beef,4.868569971978199,175.06354009300185,224
2024-08-01,2,beef,4.79244829927338,163.6496019897596,258
2024-09-01,3,beef,4.59345420747048,152.06625093035893,97
2024-10-01,4,beef,4.730343271853177,155.978815448645,239
2024-11-01,5,beef,4.696461857006361,302.73840946167167,243
2024-12-01,6,beef,4.726690527608907,359.31038566266665,252
2025-01-01,7,beef,4.695127682564347,294.3531364085293,254
2025-02-01,8,beef,4.6999563184317985,436.02269944036,241
2025-03-01,9,beef,4.812689591876772,522.0361378098324,269
2025-04-01,10,beef,4.909019715305599,677.3108536252508,271
2025-05-01,11,beef,4.907251894730417,347.362595908612,226
2025-06-01,12,beef,4.906594443384643,396.61783810045176,144
2025-07-01,13,beef,4.9119001044042365,182.0471190407277,136
2025-08-01,14,beef,4.846057822895379,327.5127510461168,218
2025-09-01,15,beef,4.787132007083911,170.40205809412902,213
2025-10-01,16,beef,4.72164804185781,295.90648324639267,257
2025-11-01,17,beef,4.853104593082197,184.36463800050427,181
2025-12-01,18,beef,4.715475710413022,319.97382140329916,196
2026-01-01,19,beef,4.77096317585854,178.27370756345496,193
2026-02-01,20,beef,4.848511114461424,1094.658342234223,160
2026-03-01,21,beef,4.780826068240415,168.03884454975537,153
2026-04-01,22,beef,4.776587706467584,159.52432074438164,117
2026-05-01,23,beef,4.87539897292685,466.7517118099592,141
2026-06-01,24,beef,4.708705611783189,877.3636640770555,48
2023-10-01,-8,control_food,4.386842830166647,236.40438272281366,2611
2023-11-01,-7,control_food,4.679211166153919,542.6710533166736,10872
2023-12-01,-6,control_food,4.619332014539825,525.5247765522138,6014
2024-01-01,-5,control_food,4.5631911623454195,578.1360710794771,6706
2024-02-01,-4,control_food,4.611453801361807,568.4019400871824,7228
2024-03-01,-3,control_food,4.601995110420685,465.51584661716714,7176
2024-04-01,-2,control_food,4.660315712065301,698.704753794848,6913
2024-05-01,-1,control_food,4.663034405592407,574.906899877457,6569
2024-07-01,1,control_food,4.674487078219167,661.5635164376581,6810
2024-08-01,2,control_food,4.667838009869874,588.659165104873,7687
2024-09-01,3,control_food,4.603220321031641,470.3974670650426,1038
2024-10-01,4,control_food,4.658775893249459,646.7187058867404,7156
2024-11-01,5,control_food,4.624982511560947,595.9987653200523,6691
2024-12-01,6,control_food,4.625730037756652,680.1836724153486,6942
2025-01-01,7,control_food,4.573990496326329,413.59119454556924,7607
2025-02-01,8,control_food,4.573539288862595,318.9021808326119,6959
2025-03-01,9,control_food,4.631285270653439,616.9321867131274,6531
2025-04-01,10,control_food,4.606890533033675,464.1517155950449,6813
2025-05-01,11,control_food,4.617528199010035,563.1692182529222,6976
2025-06-01,12,control_food,4.6799874339175895,678.0961163775404,4486
2025-07-01,13,control_food,4.651420118677324,281.0174713249769,3904
2025-08-01,14,control_food,4.587609081461448,333.0888845009912,6763
2025-09-01,15,control_food,4.604215151617952,318.49730514279196,6358
2025-10-01,16,control_food,4.596915465854896,328.5386433813747,8704
2025-11-01,17,control_food,4.600506713360754,347.0266325662659,6024
2025-12-01,18,control_food,4.580070619675345,322.06530295015864,7084
2026-01-01,19,control_food,4.563478808139346,294.08882613411015,7000
2026-02-01,20,control_food,4.6093788117270655,349.0394114142562,5770
2026-03-01,21,control_food,4.564069916374708,339.661974274293,5638
2026-04-01,22,control_food,4.5675215891757555,339.34079688189155,5527
2026-05-01,23,control_food,4.5654926733552905,349.09138937629234,6159
2026-06-01,24,control_food,4.544716358256122,370.0821935541488,2084
2023-10-01,-8,dairy_cattle,4.371663166056294,334.38556420710734,702
2023-11-01,-7,dairy_cattle,4.59483185300622,287.9494819322049,2446
2023-12-01,-6,dairy_cattle,4.632165200159544,307.010925415739,1482
2024-01-01,-5,dairy_cattle,4.540964584468496,250.5355525254786,1721
2024-02-01,-4,dairy_cattle,4.667471376942283,292.2845127826194,1899
2024-03-01,-3,dairy_cattle,4.582558750959338,281.76853079638215,2010
2024-04-01,-2,dairy_cattle,4.528401134914517,250.10440612460604,2014
2024-05-01,-1,dairy_cattle,4.656950574560493,269.04557331497443,1891
2024-07-01,1,dairy_cattle,4.644465719024609,287.31140905410126,1889
2024-08-01,2,dairy_cattle,4.632587829473858,276.17279984527585,2095
2024-09-01,3,dairy_cattle,3.7305086971322456,431.9890435168966,242
2024-10-01,4,dairy_cattle,4.572142061990988,270.393005895423,2099
2024-11-01,5,dairy_cattle,4.603959274367017,249.6338426249381,1705
2024-12-01,6,dairy_cattle,4.648900596129668,257.04663137035976,1725
2025-01-01,7,dairy_cattle,4.533729705327621,226.86690366064013,2008
2025-02-01,8,dairy_cattle,4.55251579180027,253.09856343962127,1875
2025-03-01,9,dairy_cattle,4.642693572890839,265.37904254201885,1724
2025-04-01,10,dairy_cattle,4.6446511495927885,216.9530285246624,1792
2025-05-01,11,dairy_cattle,4.602208826672704,280.80879156859214,1747
2025-06-01,12,dairy_cattle,4.730171755264813,277.1649295857719,955
2025-07-01,13,dairy_cattle,4.754537106538233,276.95427019831374,840
2025-08-01,14,dairy_cattle,4.636263907522257,247.8290741369934,1866
