estimator,term,estimate,std_error,conf_low,conf_high,t_stat,p_value,treatment_group,n_obs,n_units,n_periods,fixed_effects,cluster,r_squared,pre_treated_average,comparison_group,effect_dkk_per_kg,effect_usd_per_kg,implied_tax_usd_tco2e,required_tax_usd_tco2e,required_tax_dkk_tco2e
DiD,beef x post,0.0583369871745827,0.0157241770662132,0.0275176001248047,0.0891563742243607,3.710018459403653,0.0002072441358848,beef,207369.0,16912.0,32.0,unit_id + period,unit_id,0.0002916383519283,158.5362203535783,untreated_food_controls,9.523614185745886,1.3811747401484906,23.1740728212834,46.75281714055032,322.37470002923664
SDiD,synthetic DiD,0.1828064492084454,0.0926084050640351,0.0012939752829366,0.3643189231339542,1.973972546898328,0.04838486464222,beef,,,,,,,,,31.79951405222064,4.6117665732050295,77.37863377860786,-7.45174381677414,-51.382009139802726
